Wavelength(A),Flux(erg/s/cm2),Original(erg/s/cm2),Flux_factor(er/s/cm2),Flux_corrected(erg/s/cm2)
5326.346834152776,381.871133855569,812.6518,9.022600547807792e-13,3.357596063001369e-11
5327.399131319703,366.46737973081457,779.8714,8.658650754061741e-13,3.218831728369062e-11
5328.45142848563,312.04237011052487,664.0507,7.372732343166096e-13,2.7379664023880123e-11
5329.503725652557,254.51066137597832,541.6187,6.013410884370088e-13,2.230860347728737e-11
5330.556022819483,266.9740166324993,568.1417,6.307886863294279e-13,2.337693236952499e-11
5331.608319985409,243.8425405357003,518.9161,5.761351526110301e-13,2.132948561197838e-11
5332.660617152335,232.4986927844817,494.7755,5.493326535844594e-13,2.031627431844942e-11
5333.712914319262,267.4276182925348,569.107,6.318604265641507e-13,2.3344400072162048e-11
5334.765211486189,269.1031672816452,572.6727,6.358193037577186e-13,2.346650657270449e-11
5335.817508652116,227.79252269702613,484.7604,5.382132237442313e-13,1.9843694445339743e-11
5336.869805819043,220.33166116498376,468.8831,5.205851897353596e-13,1.9174041980353333e-11
5337.922102985969,261.34466637172403,556.1619999999998,6.174880269593789e-13,2.271979290820924e-11
5338.974400151897,238.27347940056728,507.0647,5.629769404305747e-13,2.069286669339702e-11
5340.026697318824,258.4680339442519,550.0403,6.106913086387506e-13,2.2423648808800495e-11
5341.07899448575,250.2893417938833,532.6354,5.913672315525324e-13,2.1691848112216057e-11
5342.131291651677,242.58027514754414,516.2299,5.731527547880608e-13,2.1002195778983373e-11
5343.183588818603,236.9660089158656,504.2823,5.598877349720721e-13,2.0495124315556414e-11
5344.235885985529,264.57203771875527,563.0301,6.251134481818996e-13,2.2859356199745437e-11
5345.288183151457,239.67385058783714,510.0448,5.662856455724968e-13,2.068695269053305e-11
5346.340480318383,234.61243046931688,499.2737,5.543268542721524e-13,2.0229398397664584e-11
5347.39277748531,251.11698978292344,534.3967,5.93322743906637e-13,2.163039211236857e-11
5348.445074652236,254.48232595683388,541.5584,6.012741393681663e-13,2.1897903321855583e-11
5349.497371818163,214.65677687244892,456.8065,5.071769455432398e-13,1.8452125158603957e-11
5350.54966898509,238.95822853451904,508.5219,5.64594820747614e-13,2.0520168539675923e-11
5351.601966152017,250.6957647460896,533.5003,5.923275010324992e-13,2.1506183296301225e-11
5352.654263317943,240.1403747027063,511.0376,5.673879181354647e-13,2.0579708045047533e-11
5353.7065604848685,214.68163497647447,456.8594,5.072356786401185e-13,1.8379211107810927e-11
5354.7588576517965,277.44289671461405,590.4203,6.555238691671932e-13,2.3728145476928457e-11
5355.811154817724,248.17259670137784,528.1308,5.863659251593571e-13,2.1203252870043802e-11
5356.86345198465,224.76335831177138,478.3141,5.310561129236642e-13,1.9183724551345013e-11
5357.915749151577,256.7205421247762,546.3215,6.065624496468444e-13,2.188905721132922e-11
5358.968046317505,266.0974982688154,566.2764,6.287177062612331e-13,2.266556307796669e-11
5360.020343484432,239.99507931963055,510.7284,5.670446237393426e-13,2.0421498788059423e-11
5361.072640651357,204.59812599287318,435.4009,4.834110253439425e-13,1.73918888121833e-11
5362.124937817284,227.27449672580158,483.658,5.369892659748764e-13,1.92999371897184e-11
5363.17723498421,233.16163821282314,496.1863,5.508990175367509e-13,1.9779834349843626e-11
5364.229532151137,215.97444434878304,459.6106,5.102902437843942e-13,1.8303264178016403e-11
5365.281829318064,210.886662422402,448.7834,4.982691665344298e-13,1.7854027381256705e-11
5366.334126483991,220.53701071997762,469.3201,5.210703761878345e-13,1.865218595263557e-11
