Wavelength(A),Flux(erg/s/cm2),Original(erg/s/cm2),Flux_factor(er/s/cm2),Flux_corrected(erg/s/cm2)
3558.614809898269,6858.076128190437,8013.914000000002,1.6203812214442457e-11,4.125206268473895e-09
3559.792826357077,7216.913793742147,8433.229,1.7051650301886235e-11,4.334842752041435e-09
3560.9708428168847,7512.437233268451,8778.559000000001,1.774989369107326e-11,4.505899787986956e-09
3562.148859276692,7655.696741189748,8945.963,1.8088377854984495e-11,4.585266832249489e-09
3563.3268757354995,7572.613346611084,8848.877,1.78920738626218e-11,4.529030767680403e-09
3564.504892195307,7036.456482716893,8222.358,1.66252776099068e-11,4.202362055380833e-09
3565.682908654115,7704.585233510887,9003.091,1.8203888376333572e-11,4.5948260047788175e-09
3566.860925113923,7488.907806431003,8751.064,1.769429990546038e-11,4.4598372387682316e-09
3568.03894157373,7126.950855161073,8328.104,1.6839091774424715e-11,4.238238381593747e-09
3569.216958032537,7479.169131129672,8739.684000000001,1.7671290002558958e-11,4.441364651320717e-09
3570.3949744923448,7038.792737863873,8225.088,1.6630797560251338e-11,4.173910048429209e-09
3571.572990951153,7209.763826067048,8424.874,1.7034756827480133e-11,4.269216168392439e-09
3572.7510074109605,6891.021604618445,8052.411999999998,1.6281653624099657e-11,4.074677905083805e-09
3573.9290238707677,7720.509422439465,9021.699,1.824151300490912e-11,4.5586742708534086e-09
3575.1070403295757,7461.773871652503,8719.357,1.7630189625030202e-11,4.399648535906746e-09
3576.285056789383,7285.291617461578,8513.131,1.721320893647582e-11,4.2894983095813286e-09
3577.463073248191,7834.194336359113,9154.544,1.851012025894599e-11,4.606148369941544e-09
3578.641089707998,7267.0962119908445,8491.869,1.7170218026503055e-11,4.266668245422633e-09
3579.819106167806,7469.152330215603,8727.979,1.7647622962711754e-11,4.3790915568527795e-09
3580.997122626614,7306.3290388089135,8537.714,1.726291477505453e-11,4.277569131410599e-09
3582.175139086421,7254.803915679039,8477.505,1.7141174595459465e-11,4.241397231086599e-09
3583.3531555452287,7532.541008328111,8802.051,1.7797393571473986e-11,4.397548018198562e-09
3584.531172005037,7311.812820120946,8544.122,1.727587149366545e-11,4.262656350682075e-09
3585.709188464844,7420.885127724759,8671.577,1.7533580384201553e-11,4.320136717884397e-09
3586.8872049236516,7290.62820614164,8519.367,1.722581787799544e-11,4.238318714416896e-09
3588.0652213834587,7584.202199065447,8862.419,1.7919455242682526e-11,4.4027679212666426e-09
3589.2432378422673,7589.577297445735,8868.7,1.7932155172394637e-11,4.399679691902394e-09
3590.4212543020744,6956.753384046861,8129.222,1.6436960358885098e-11,4.027151888537073e-09
3591.5992707618816,6909.5832801268725,8074.102,1.6325509932881014e-11,3.994215902986399e-09
3592.7772872206897,7263.359915297909,8487.503,1.7161390149871462e-11,4.1928166566589505e-09
3593.955303680497,7200.345209163141,8413.868,1.7012503137556322e-11,4.150597288739997e-09
3595.1333201403045,7054.144415915774,8243.027,1.6667069497698493e-11,4.0606068567802865e-09
3596.311336599113,7206.254308719879,8420.773000000001,1.702646477020432e-11,4.142340957792944e-09
3597.48935305892,7605.971304717054,8887.857,1.7970889856918586e-11,4.3659719953989396e-09
3598.6673695177283,7826.960503114634,9146.091,1.8493028632476238e-11,4.486521481732926e-09
3599.8453859775354,7223.759962671029,8441.229,1.7067825980551557e-11,4.134953238081471e-09
3601.0234024373426,6951.021429111157,8122.524,1.6423417271922558e-11,3.973259677204232e-09
3602.201418896151,7802.896219329616,9117.971,1.8436171121967626e-11,4.453951852487844e-09
3603.3794353559583,7449.714345084279,8705.265,1.7601696167061238e-11,4.246401061264793e-09
3604.5574518147655,7514.6117476744885,8781.1,1.775503149100934e-11,4.2774010820611595e-09
