Wavelength(A),Flux(erg/s/cm2),Original(erg/s/cm2),Flux_factor(er/s/cm2),Flux_corrected(erg/s/cm2)
3558.614809898269,2071.534902443381,2514.764,4.894486723015248e-12,1.2460504382264273e-09
3559.792826357077,2208.7830562405966,2681.378,5.218767653897216e-12,1.3267066083675287e-09
3560.9708428168847,2113.8220690391054,2566.099,4.9944000651523185e-12,1.2678535762729483e-09
3562.148859276692,1872.8984849622614,2273.627,4.425161631305756e-12,1.121744968954084e-09
3563.3268757354995,1988.618776446968,2414.107,4.698577941881691e-12,1.1893536896012116e-09
3564.504892195307,2267.3302088387177,2752.452,5.357099023899167e-12,1.3541109022767026e-09
3565.682908654115,1890.2532336880568,2294.695,4.466166292689682e-12,1.1273007502065512e-09
3566.860925113923,1777.631063048126,2157.976,4.200070018731599e-12,1.058625024728595e-09
3568.03894157373,1826.531288442535,2217.339,4.3156082622162175e-12,1.0861973330787157e-09
3569.216958032537,1761.779656662589,2138.733,4.162617355972397e-12,1.0461998857532604e-09
3570.3949744923448,2012.407006639845,2442.985,4.754783211078816e-12,1.1933304672205053e-09
3571.572990951153,1880.7339876146145,2283.139,4.443674842767874e-12,1.1136647665682952e-09
3572.7510074109605,1745.6144018213595,2119.109,4.1244231526783875e-12,1.0321860591948341e-09
3573.9290238707677,1820.628301477989,2210.173,4.301661071999908e-12,1.075013440254671e-09
3575.1070403295757,2191.686141023021,2660.623,5.178372184606188e-12,1.2922729752172932e-09
3576.285056789383,2165.3039245126224,2628.5959999999995,5.116038014768377e-12,1.2749067589367083e-09
3577.463073248191,2182.9939391740268,2650.071,5.1578348205031316e-12,1.2835007076415968e-09
3578.641089707998,1957.7117054296966,2376.587,4.625552742758619e-12,1.1494145837049225e-09
3579.819106167806,2061.1671946655724,2502.178,4.869990583458664e-12,1.2084423319240825e-09
3580.997122626614,2335.550648615831,2835.269,5.51828580203817e-12,1.3673733151489357e-09
3582.175139086421,2165.6680216711948,2629.038,5.116898279640777e-12,1.2661208293607275e-09
3583.3531555452287,1677.260514669385,2036.13,3.9629210738395485e-12,9.791959504942895e-10
3584.531172005037,1988.8634299675464,2414.404,4.6991559931647276e-12,1.1594718763944322e-09
3585.709188464844,1970.478994707327,2392.086,4.6557184560104456e-12,1.1471325199538648e-09
3586.8872049236516,2071.5299599480154,2514.758,4.8944750452115495e-12,1.204258940172924e-09
3588.0652213834587,2262.65296072475,2746.774000000001,5.346047928999892e-12,1.31351137680183e-09
3589.2432378422673,2286.1742961679042,2775.328,5.401622596797339e-12,1.3252957613837515e-09
3590.4212543020744,2046.9089192860965,2484.869,4.836302066091362e-12,1.1849224293144579e-09
3591.5992707618816,1874.4767884822265,2275.543,4.4288907432865615e-12,1.0835769242218482e-09
3592.7772872206897,2248.7661962468937,2729.916,5.313237193210532e-12,1.29811333522068e-09
3593.955303680497,2237.724661600959,2716.512,5.287148979749828e-12,1.2899234194449198e-09
3595.1333201403045,2109.3787657057587,2560.705,4.9839017196280665e-12,1.214230581988954e-09
3596.311336599113,2145.0166285367873,2603.968,5.0681045231904725e-12,1.2330109173059795e-09
3597.48935305892,2000.082894446631,2428.024,4.725664607558551e-12,1.1480855706377515e-09
3598.6673695177283,1962.2324411904322,2382.075,4.6362340405408e-12,1.1247786412172185e-09
3599.8453859775354,2206.620714518306,2678.753,5.213658614779463e-12,1.2630920069139954e-09
3601.0234024373426,2227.418735015216,2704.001,5.262798812739467e-12,1.2732104388314193e-09
3602.201418896151,2077.221243361084,2521.667,4.907922036169474e-12,1.1856935097991181e-09
3603.3794353559583,2254.027482563187,2736.303,5.325668215246755e-12,1.2848149943349332e-09
3604.5574518147655,2152.0110832278224,2612.459,5.084630561723362e-12,1.224948785791219e-09
3605.7354682745727,1866.8958243411835,2266.34,4.410978938714876e-12,1.0611722531075863e-09
3606.91348473438,1971.9114946140176,2393.825,4.6591030727821656e-12,1.1192985154537495e-09
3608.0915011931893,2217.695199133343,2692.197,5.2398246802648205e-12,1.2570524713221845e-09
3609.269517652996,2179.5696136351467,2645.914,5.1497440488412296e-12,1.2337173350957325e-09
3610.447534111804,1786.3084374110238,2168.51,4.220572349423562e-12,1.0097063222459231e-09
3611.625550571611,2076.816782490362,2521.176,4.906966402566877e-12,1.1722786187130125e-09
3612.803567031417,2310.9032479786306,2805.348,5.460050541298259e-12,1.30259313292739e-09
3613.9815834902265,2818.819607936251,3421.9390000000008,6.660121984595004e-12,1.5866787114375973e-09
3615.159599950034,2411.679904726549,2927.687,5.698159012394142e-12,1.3556150818399118e-09
3616.337616408842,2419.893508274342,2937.658,5.7175655758391345e-12,1.3583394799389252e-09
3617.5156328686494,2256.0497869167953,2738.758,5.330446383259738e-12,1.264609426892013e-09
3618.693649328457,2571.5910472718233,3121.813,6.075986565831388e-12,1.4394799836018575e-09
3619.871665787265,2139.3475863528624,2597.086,5.054710082349188e-12,1.1958628889916804e-09
3621.0496822470723,2344.073981873179,2845.616,5.538424174514886e-12,1.3084827004135722e-09
3622.22769870588,2417.9708775772656,2935.324,5.713022910200723e-12,1.3478597059987742e-09
3623.405715165687,2100.2260880385707,2549.594,4.962276373480508e-12,1.169114229315642e-09
3624.583731625495,2322.825370548805,2819.821,5.488219350117775e-12,1.2912342872872541e-09
3625.761748084303,2326.154964926519,2823.863,5.4960862972088056e-12,1.2912937255144322e-09
3626.93976454411,2227.2613989127562,2703.81,5.2624270693217574e-12,1.2346839775021425e-09
3628.117781002918,2547.016960315873,3091.981,6.017924525846324e-12,1.4099866437872158e-09
3629.295797462725,2224.537260217284,2700.503,5.2559906531836975e-12,1.2297637873356333e-09
3630.473813922533,2213.7510878318853,2687.409,5.23050579291404e-12,1.2221090793105086e-09
3631.651830381341,2310.226126113593,2804.526,5.458450682191672e-12,1.2736061663934698e-09
3632.829846841148,2676.302754079695,3248.929,6.323392514971267e-12,1.4733831318234022e-09
3634.007863299956,2651.561446030555,3218.894,6.264935375961099e-12,1.4577473096377907e-09
3635.1858797597633,2756.3555277611817,3346.11,6.512535955162611e-12,1.5132692129163285e-09
3636.3638962195705,2513.1435683302343,3050.86,5.9378906982040066e-12,1.3778406046021586e-09
3637.541912678378,2441.628131642964,2964.043,5.7689187175998565e-12,1.3367870344450681e-09
3638.719929138185,2518.532535776796,3057.402,5.950623396835754e-12,1.3769925829949794e-09
3639.897945596994,2358.5159533303963,2863.148,5.572546716919623e-12,1.2877290389594e-09
3641.075962056802,2347.493364916694,2849.7670000000007,5.5465032683730915e-12,1.2799469934199798e-09
3642.253978516609,2132.2987642128096,2588.529,5.038055587975625e-12,1.1610152103134096e-09
3643.4319949754167,2169.8831464685127,2634.155,5.126857499894316e-12,1.1798552954694365e-09
3644.610011435224,2056.2115193126965,2496.1620000000007,4.8582816389510835e-12,1.1165110707486406e-09
3645.7880278950315,2314.7122644067717,2809.972,5.469050235347968e-12,1.2551493490462001e-09
3646.966044353839,2095.497767472496,2543.854,4.951104607943024e-12,1.1347208652460374e-09
3648.1440608136463,2008.540327765776,2438.291,4.7456472759859655e-12,1.086140826015897e-09
3649.3220772724544,2165.263560800473,2628.547,5.115942646038179e-12,1.1692850336231336e-09
3650.500093732262,1985.0033410872986,2409.718,4.6900356284768105e-12,1.0704717323307195e-09
3651.678110192069,2069.2638258230554,2512.007,4.8891207722161456e-12,1.1143829532974405e-09
3652.8561266508773,1940.7770688099465,2356.029,4.585540694689001e-12,1.0437564543132165e-09
3654.034143110685,1876.5378090495292,2278.045,4.4337603874285096e-12,1.007827169144526e-09
3655.212159569493,2074.010268872136,2517.769,4.900335356367189e-12,1.1123594753205289e-09
3656.3901760292997,1894.7739694487925,2300.183,4.476847590471862e-12,1.0148397529877903e-09
3657.568192489107,1944.970776127348,2361.12,4.595449311126514e-12,1.04030152965687e-09
3658.746208947915,1887.576048698555,2291.445,4.45984081568675e-12,1.0082239274586207e-09
3659.9242254077226,1827.6631198811747,2218.713,4.318282479262997e-12,9.748894361025815e-10
3661.1022418665307,1949.4931593865388,2366.61,4.606134501509929e-12,1.0384555062278997e-09
3662.280258326338,1872.5615715281976,2273.218,4.424365594353693e-12,9.961151217972975e-10
3663.458274786145,1915.7935784879096,2325.7,4.526511343297645e-12,1.0177231987764089e-09
3664.636291244953,2088.0238907310327,2534.781,4.933445822451455e-12,1.1077053266374514e-09
3665.8143077047607,2219.161472758363,2693.9770000000008,5.243289095361809e-12,1.1756709528234491e-09
3666.992324163569,1996.883452446869,2424.14,4.718105175964894e-12,1.0564719951471737e-09
3668.170340623376,1935.3493851496905,2349.44,4.5727165199282894e-12,1.0225235499088207e-09
3669.348357083184,1842.448594766275,2236.6620000000007,4.353216629024723e-12,9.721164009922454e-10
3670.526373541992,1825.069133563653,2215.564,4.312153578622309e-12,9.616376128772137e-10
3671.704390001799,1915.5291549858691,2325.379,4.525886580799816e-12,1.0079300618586048e-09
3672.882406460608,1658.286274962247,2013.096,3.918089985444003e-12,8.71386700246621e-10
3674.060422920413,1837.9533952315933,2231.205,4.342595666561647e-12,9.644861207183385e-10
3675.238439380221,2051.5622786724653,2490.518,4.847296718272763e-12,1.0751189982577637e-09
3676.416455839029,1933.273537096292,2346.92,4.567811842375247e-12,1.0117559258082127e-09
3677.5944722988374,1713.7748466785147,2080.457000000001,4.049194741257681e-12,8.956681050255232e-10
3678.772488757645,1716.087934509445,2083.265,4.054659953388213e-12,8.956617985102078e-10
3679.950505217452,1564.4324067225687,1899.161,3.696338224727393e-12,8.154038519912359e-10
3681.128521677259,1572.366759282226,1908.793,3.7150849922634646e-12,8.184299678119625e-10
3682.306538136068,2151.3908000594856,2611.706,5.083164997359299e-12,1.1183016402864345e-09
3683.4845545958747,1812.4888353606743,2200.292,4.2824296756103815e-12,9.408648653464862e-10
3684.6625710546828,1619.3064615150922,1965.776,3.825991040281324e-12,8.394473948558207e-10
3685.84058751449,2062.4448297174854,2503.729,4.873009295714525e-12,1.067725393393768e-09
3687.0186039742975,2245.213365828517,2725.603,5.304842798652488e-12,1.1607746448663173e-09
3688.1966204331056,1794.155472552562,2178.036,4.239112809094308e-12,9.263256675669765e-10
3689.374636892912,1404.6127003415513,1705.146,3.3187267106585567e-12,7.242254977053872e-10
3690.5526533517204,2200.2811404631643,2671.057,5.198679885236522e-12,1.1329461230061489e-09
3691.7306698115276,2119.030635404836,2572.422,5.006706523949099e-12,1.089638507481702e-09
3692.908686271335,1937.584216804004,2352.153,4.5779968335002734e-12,9.949933653335077e-10
3694.086702730143,1109.5836195014779,1346.9920000000004,2.621651359733062e-12,5.690288498911631e-10
3695.264719189952,1753.7686954247702,2129.008,4.1436895824790095e-12,8.981760637775751e-10
3696.442735649758,2484.064396848873,3015.559,5.8691843401484735e-12,1.2704781167150535e-09
3697.620752108566,2641.8247301610418,3207.074,6.241930102676593e-12,1.349347396948564e-09
3698.798768568373,2058.1300312636354,2498.491,4.862814573086416e-12,1.0498041349438743e-09
3699.976785027181,1555.6652436938693,1888.518,3.675623747268256e-12,7.924421576445183e-10
3701.154801486989,1522.6642021401935,1848.456,3.5976510519785844e-12,7.745897964276527e-10
3702.3328179467962,2082.519598392616,2528.099,4.9204406417334275e-12,1.0579696266111711e-09
3703.5108344056043,2998.4677819733647,3640.025,7.0845829007984754e-12,1.5212486774614776e-09
3704.688850865412,2938.4510607533143,3567.167,6.9427793304970676e-12,1.4887996868012826e-09
3705.8668673242187,2038.0313738609063,2474.092,4.81532678434964e-12,1.0312071284797053e-09
3707.0448837840254,1451.1199342299592,1761.604,3.4286109508528636e-12,7.332563583745758e-10
3708.2229002438335,1672.2307018860306,2030.024,3.9510369622765025e-12,8.438523490192248e-10
3709.400916702642,1425.5548769532807,1730.569,3.368207511226411e-12,7.184097286226701e-10
3710.5789331624487,2142.8946505266463,2601.3920000000007,5.063090852802919e-12,1.0784681671114713e-09
3711.756949621257,2879.7193883282243,3495.869,6.8040119891570695e-12,1.4473553689983501e-09
3712.934966081065,2335.4089637486945,2835.097,5.51795103833217e-12,1.1722134361869251e-09
3714.112982540873,1728.0743095193673,2097.8160000000007,4.082980573655799e-12,8.662139260130849e-10
3715.29099899968,1436.9325012840518,1744.381,3.3950898153385613e-12,7.193137461293327e-10
3716.4690154594878,1399.9090922523026,1699.436,3.3076133341395616e-12,6.998441196517644e-10
3717.647031918296,1395.6651362320206,1694.284,3.2975859933644533e-12,6.967908714883237e-10
3718.825048378103,1513.530470705239,1837.368,3.576070470745198e-12,7.546270634082457e-10
3720.00306483791,2079.0005416925687,2523.827,4.912126045500653e-12,1.0351804010014077e-09
3721.1810812967187,3899.200493572237,4733.48,9.212775041180089e-12,1.9389092424288837e-09
3722.3590977565254,4214.2944580967105,5115.992,9.957258382517093e-12,2.092798959657446e-09
3723.537114215333,6679.909343496389,8109.154,1.57828514277626e-11,3.3127919733632973e-09
3724.715130675141,26873.171050011217,32623.0,6.349416500511634e-11,1.3309560627699098e-08
3725.8931471349483,50108.13831170372,60829.36,1.1839222085631684e-10,2.4784177883735685e-08
3727.071163593757,56457.449082714884,68537.18,1.333939556725427e-10,2.7887474759570634e-08
3728.249180053564,65211.26737392843,79163.98,1.540769030616967e-10,3.216862578445302e-08
3729.4271965123717,58780.4630918368,71357.23,1.3888262072550158e-10,2.895776504248089e-08
3730.605212972179,20302.09874945422,24645.97,4.796846659998e-11,9.988387454028217e-09
3731.783229431986,2291.3754487905867,2781.6420000000007,5.4139115388885725e-12,1.1258313717242087e-09
3732.961245890794,2604.471821438277,3161.7290000000007,6.1536751012310795e-12,1.2779669942630169e-09
3734.1392623506013,3739.3066497607415,4539.375,8.83498836005579e-12,1.832374236743935e-09
3735.3172788094093,3356.283028936476,4074.399,7.930005284697333e-12,1.6424986782078482e-09
3736.495295269217,1906.7965894247268,2314.778,4.505253847966563e-12,9.319109407046175e-10
3737.673311729024,1483.7890048449362,1801.263,3.505799286994172e-12,7.242125047533913e-10
3738.851328187832,1608.7945976224646,1953.015,3.80115429811689e-12,7.841850002261379e-10
3740.02934464764,1589.2857446666535,1929.332,3.755060060621376e-12,7.736494370295598e-10
3741.207361107447,1587.5319825612228,1927.203,3.750916386609302e-12,7.71772387138268e-10
3742.385377566255,1445.4426545537592,1754.7120000000002,3.415197047005417e-12,7.017660884597539e-10
3743.563394026063,1431.6020200326457,1737.91,3.38249530405057e-12,6.941267859915707e-10
3744.7414104848713,1475.9032534897033,1791.69,3.487167351194461e-12,7.146602253828708e-10
3745.9194269446775,1568.5379728726239,1904.145,3.706038586998967e-12,7.585115691728424e-10
3747.0974434044847,1321.4321508430985,1604.168,3.1221931670271743e-12,6.381719637291737e-10
3748.275459863293,1932.1968968558972,2345.613,4.565268027469758e-12,9.319017770253805e-10
3749.4534763231,3971.657475626585,4821.44,9.383971643388657e-12,1.913007542017426e-09
3750.631492781908,3790.198700787341,4601.156,8.95523275843059e-12,1.8231954842592268e-09
3751.8095092417157,2520.503767678297,3059.795,5.9552808942105275e-12,1.2108356474526886e-09
3752.987525701523,1420.9221112975995,1724.945,3.3572615165604134e-12,6.817025753876254e-10
3754.165542160331,1323.5162363887725,1606.698,3.127117307586379e-12,6.341339073525628e-10
3755.3435586201385,1344.6775302950266,1632.3870000000004,3.1771158241181634e-12,6.434237899580692e-10
3756.5215750789466,1418.6988121324716,1722.246,3.3520084511970583e-12,6.77948430818225e-10
3757.699591538754,1226.2083876380225,1488.57,2.897204708385681e-12,5.851920916714415e-10
3758.877607998561,1413.4235220793107,1715.842,3.3395443420503587e-12,6.73650154865446e-10
3760.0556244573686,1273.7016493517945,1546.225,3.009418670417681e-12,6.062586747924885e-10
3761.2336409171758,1503.5416875720987,1825.242,3.552469629472108e-12,7.147169880243025e-10
3762.411657375984,1468.0397433636144,1782.144,3.46858796551139e-12,6.969233904898697e-10
3763.5896738357924,1315.241675398141,1596.6529999999998,3.10756671789578e-12,6.235648205085399e-10
3764.7676902955986,1402.9058919420902,1703.0739999999996,3.3146939757816115e-12,6.642531440771807e-10
3765.9457067544067,1232.8791088826345,1496.668,2.9129658507763683e-12,5.82981572001893e-10
