Wavelength(A),Flux(erg/s/cm2),Original(erg/s/cm2),Flux_factor(er/s/cm2),Flux_corrected(erg/s/cm2)
3558.614809898269,1431.8380186604181,1686.5929999999996,3.383052906120861e-12,8.612659089241857e-10
3559.792826357077,1658.6357859256268,1953.743,3.9189157870116185e-12,9.962603850319926e-10
3560.9708428168847,1240.140209050384,1460.7879999999998,2.930121901743029e-12,7.438261820396027e-10
3562.148859276692,1448.017363030773,1705.651,3.4212803992296614e-12,8.67268677389452e-10
3563.3268757354995,1400.8223734076867,1650.059,3.3097711749194277e-12,8.378042478634865e-10
3564.504892195307,1432.7718668505422,1687.693,3.385259341340699e-12,8.556900965789897e-10
3565.682908654115,1050.827108136768,1237.792,2.482825330576584e-12,6.266875602845548e-10
3566.860925113923,1310.8291212312,1544.054,3.0971410244839985e-12,7.806324606518044e-10
3568.03894157373,1417.7496452830414,1669.9979999999996,3.349765822054298e-12,8.431040264264183e-10
3569.216958032537,1723.6341668169846,2030.306,4.072489695862974e-12,1.023547900320489e-09
3570.3949744923448,1340.6553834708725,1579.187,3.1676125595554373e-12,7.949907299370191e-10
3571.572990951153,1304.4950836434562,1536.5929999999996,3.0821753761428937e-12,7.724485346584636e-10
3572.7510074109605,1362.3002866121556,1604.683,3.2187537162508924e-12,8.055314866851648e-10
3573.9290238707677,1387.5914424594243,1634.474,3.278509999554717e-12,8.193212469647425e-10
3575.1070403295757,1008.770830418066,1188.253,2.3834575175260603e-12,5.947965166802052e-10
3576.285056789383,1357.4952131975156,1599.023,3.207400604119724e-12,7.992780149416167e-10
3577.463073248191,1277.9899251490258,1505.372,3.0195507270532804e-12,7.513996918874829e-10
3578.641089707998,1222.0430800786735,1439.471,2.8873631930327596e-12,7.174877354323259e-10
3579.819106167806,1260.395376294182,1484.6470000000004,2.977979481661324e-12,7.389575826828549e-10
3580.997122626614,1299.7536816963245,1531.0079999999996,3.0709727027767138e-12,7.609548102377604e-10
3582.175139086421,1256.0979767138094,1479.585,2.967825867949667e-12,7.343562337906102e-10
3583.3531555452287,1344.196366017244,1583.358,3.175978960739024e-12,7.847508641391197e-10
3584.531172005037,1239.7284668938296,1460.303,2.929149064396101e-12,7.227395657591415e-10
3585.709188464844,1312.6654063541444,1546.217,3.10147967846628e-12,7.641802726605304e-10
3586.8872049236516,1171.655178598262,1380.118,2.768309966120878e-12,6.811275969488122e-10
3588.0652213834587,1610.9424609501746,1897.564,3.806229128634073e-12,9.351815265357437e-10
3589.2432378422673,1199.3641523050528,1412.757,2.833778910793884e-12,6.952716728859431e-10
3590.4212543020744,1501.4283857884873,1768.565,3.54747645870322e-12,8.691525810296776e-10
3591.5992707618816,1398.0097924496122,1646.746,3.3031257932073147e-12,8.081461238904738e-10
3592.7772872206897,1308.661744477211,1541.501,3.092020088923773e-12,7.554325854925445e-10
3593.955303680497,1147.2299547091084,1351.3470000000002,2.710599650020904e-12,6.613140622087426e-10
3595.1333201403045,1578.815536351195,1859.721,3.730321739521031e-12,9.088202359501363e-10
3596.311336599113,1132.7756826317834,1334.321,2.676448044518205e-12,6.511486973863189e-10
3597.48935305892,1400.3452618778228,1649.497,3.308643887107109e-12,8.038247782313461e-10
3598.6673695177283,1341.635075117603,1580.341,3.1699273106860685e-12,7.690436897907183e-10
3599.8453859775354,1594.971110040347,1878.751,3.768493068824234e-12,9.129775892593667e-10
3601.0234024373426,1280.6344134328779,1508.487,3.025798950425822e-12,7.320209163538139e-10
3602.201418896151,1284.187281319851,1512.672,3.0341934335122075e-12,7.330237593583277e-10
3603.3794353559583,1491.8785146151154,1757.316,3.5249126498050734e-12,8.503835468429764e-10
3604.5574518147655,1382.9238994146024,1628.976,3.267481835155924e-12,7.871757560322189e-10
3605.7354682745727,1216.4272566444256,1432.856,2.8740944939607314e-12,6.914359311561343e-10
3606.91348473438,1681.7765440769092,1981.001,3.973591251759217e-12,9.54611803953547e-10
3608.0915011931893,1415.8641208918905,1667.777,3.3453108287604258e-12,8.025518984390191e-10
3609.269517652996,1323.8834699762385,1559.431,3.1279849830071392e-12,7.493672036619727e-10
3610.447534111804,1308.1031334689367,1540.8429999999996,3.0907002394922696e-12,7.394019847589044e-10
3611.625550571611,1594.2095992889456,1877.854,3.7666938211949665e-12,8.998664893070039e-10
3612.803567031417,1764.297312826601,2078.204,4.168565908735539e-12,9.944862755030536e-10
3613.9815834902265,1875.884530970364,2209.645,4.4322168648544316e-12,1.0559122130503826e-09
3615.159599950034,1802.1860807586474,2122.834,4.258087003154982e-12,1.0130161248059135e-09
3616.337616408842,1678.0190785410086,1976.575,3.964713358774666e-12,9.419090363601997e-10
3617.5156328686494,1445.1954435907971,1702.3270000000002,3.4146129531653502e-12,8.100919546478564e-10
3618.693649328457,1270.3909477401135,1496.421,3.001596361914395e-12,7.111170893836093e-10
3619.871665787265,1564.5539765821954,1842.922,3.6966254620136986e-12,8.745619694313698e-10
3621.0496822470723,1702.229517346433,2005.093,4.021916194774077e-12,9.501994786876391e-10
3622.22769870588,1535.3262261371021,1808.494,3.6275680513331544e-12,8.558433746922719e-10
3623.405715165687,1366.3209275470913,1609.419,3.228253422797397e-12,7.605777527022673e-10
3624.583731625495,1752.3287748408068,2064.106,4.1402874326180096e-12,9.741012068160443e-10
3625.761748084303,1378.108638565161,1623.304,3.256104652822357e-12,7.650148269948316e-10
3626.93976454411,1822.2332545419172,2146.448,4.3054531497743136e-12,1.0101563308881367e-09
3628.117781002918,1599.3398216643286,1883.897,3.7788151739526786e-12,8.853681866115515e-10
3629.295797462725,1786.0330539281958,2103.807,4.219921691402377e-12,9.873508580795046e-10
3630.473813922533,1703.9630791684644,2007.135,4.0260121408821785e-12,9.406788149345062e-10
3631.651830381341,2043.4135004670786,2406.981,4.828043319892644e-12,1.1265148485982326e-09
3632.829846841148,1520.7497048421606,1791.3239999999996,3.5931276034016768e-12,8.372172989114427e-10
3634.007863299956,1982.8899503122168,2335.689,4.685042247444717e-12,1.090132191619646e-09
3635.1858797597633,1742.5972277468106,2052.643,4.117294371777093e-12,9.56704862164309e-10
3636.3638962195705,1450.2000209369635,1708.2220000000002,3.4264374400934837e-12,7.950777260884631e-10
3637.541912678378,1810.0151244034905,2132.056,4.276584953698029e-12,9.909800428224583e-10
3638.719929138185,1521.4076433397486,1792.099,3.5946821373065643e-12,8.318205188262736e-10
3639.897945596994,1534.5409447044974,1807.569,3.6257126398982896e-12,8.378459060994746e-10
3641.075962056802,1470.6029059853809,1732.255,3.474644037946553e-12,8.018313474966824e-10
3642.253978516609,1599.7082672229776,1884.331,3.779685712939415e-12,8.710250465279652e-10
3643.4319949754167,1872.5201306272158,2205.682,4.424267680512413e-12,1.0181667135344518e-09
3644.610011435224,1681.5464778409785,1980.73,3.973047666355056e-12,9.13070100451238e-10
3645.7880278950315,1576.5140250389886,1857.01,3.7248838796292295e-12,8.548624305133754e-10
3646.966044353839,1739.5486378825046,2049.052,4.110091363709421e-12,9.419729126681159e-10
3648.1440608136463,1339.2469706095849,1577.5279999999998,3.1642848540738814e-12,7.242128976893566e-10
3649.3220772724544,1662.0417849608807,1957.755,3.926963258013431e-12,8.975353483954554e-10
3650.500093732262,1489.2875103639701,1754.264,3.518790794995121e-12,8.031423162666154e-10
3651.678110192069,1357.835643310461,1599.424,3.2082049500498647e-12,7.312498654843987e-10
3652.8561266508773,1428.5644562775824,1682.737,3.375318347750228e-12,7.682867834771355e-10
3654.034143110685,1426.7060983792346,1680.5479999999998,3.370927541662749e-12,7.662372489361465e-10
3655.212159569493,1718.664396539723,2024.452,4.060747448793034e-12,9.217758730898843e-10
3656.3901760292997,1472.0673497380765,1733.98,3.478104129541301e-12,7.884383518442434e-10
3657.568192489107,1504.0041088874302,1771.599,3.553562208209574e-12,8.044428195477253e-10
3658.746208947915,1480.5127331884014,1743.928,3.4980583273294395e-12,7.907964097853885e-10
3659.9242254077226,1773.555993155234,2089.11,4.190441711015136e-12,9.460282823761703e-10
3661.1022418665307,1171.5982987539544,1380.0510000000004,2.7681755741574878e-12,6.240866753341862e-10
3662.280258326338,1476.8401629425118,1739.602,3.4893810193648737e-12,7.856098518480509e-10
3663.458274786145,1470.9212633229238,1732.63,3.4753962317714986e-12,7.813945667563943e-10
3664.636291244953,1600.5079808548846,1885.273,3.7815752238276785e-12,8.490761162210677e-10
3665.8143077047607,1330.844883757166,1567.631,3.1444329546459353e-12,7.050571541340777e-10
3666.992324163569,1293.4977477753912,1523.639,3.0561915926539966e-12,6.843384598315727e-10
3668.170340623376,1459.4425711604947,1719.109,3.448275131219285e-12,7.710826841922714e-10
3669.348357083184,1444.2072624150655,1701.1629999999998,3.4122781435327213e-12,7.619955152148462e-10
3670.526373541992,1367.5646435457568,1610.884,3.231191993340181e-12,7.205763195976776e-10
3671.704390001799,1378.0356286157516,1623.2179999999996,3.25593214970517e-12,7.251069673247976e-10
3672.882406460608,1469.09176982318,1730.475,3.4710736245908147e-12,7.719698637045242e-10
3674.060422920413,1622.6885732761386,1911.4,3.8339820719992385e-12,8.515235539886315e-10
3675.238439380221,1312.1950864474818,1545.6629999999998,3.100368437455562e-12,6.87654419037701e-10
3676.416455839029,1256.385771746948,1479.924,2.968505851167418e-12,6.575146896053467e-10
3677.5944722988374,1586.50959648492,1868.784,3.7485007598823e-12,8.291556190374039e-10
3678.772488757645,1517.651875709648,1787.675,3.585808256022413e-12,7.920939138232796e-10
3679.950505217452,1332.6573981989072,1569.766,3.148715444822621e-12,6.945995053583105e-10
3681.128521677259,1213.2733966205055,1429.141,2.8666427604682768e-12,6.315188877412537e-10
3682.306538136068,1398.2772126131476,1647.061,3.303757636020268e-12,7.268301511734597e-10
3683.4845545958747,1549.2482047460571,1824.893,3.660461988760547e-12,8.042163764592921e-10
3684.6625710546828,1235.0906372005115,1454.84,2.918191104754302e-12,6.402701665493981e-10
3685.84058751449,1237.2715972009019,1457.409,2.9233441339177246e-12,6.405341291176399e-10
3687.0186039742975,1281.1785922418505,1509.128,3.0270847004039286e-12,6.623689525699392e-10
3688.1966204331056,1447.237175315569,1704.7320000000002,3.4194370228959968e-12,7.472111325138602e-10
3689.374636892912,1527.72724872819,1799.543,3.6096136861942693e-12,7.87703989006517e-10
3690.5526533517204,1481.1766143562893,1744.71,3.4996269021857237e-12,7.626722203186677e-10
