Wavelength(A),Flux(erg/s/cm2),Original(erg/s/cm2),Flux_factor(er/s/cm2),Flux_corrected(erg/s/cm2)
3558.614809898269,2976.5731525817205,3427.8540000000007,7.032851707306951e-12,1.7904406422564941e-09
3559.792826357077,3287.9448225768842,3786.433,7.76854025540568e-12,1.974905643963523e-09
3560.9708428168847,3543.3479344081047,4080.558,8.371989967211274e-12,2.1252717607687957e-09
3562.148859276692,3009.9820070639794,3466.328,7.111787956221557e-12,1.8027844008504122e-09
3563.3268757354995,3025.383042648981,3484.0640000000008,7.1481765124088384e-12,1.8094219600301875e-09
3564.504892195307,3152.247944426897,3630.163,7.447924576820519e-12,1.8826076993937395e-09
3565.682908654115,3643.201976189007,4195.551,8.607918544209699e-12,2.1727164634437653e-09
3566.860925113923,3912.66191955214,4505.864000000001,9.244580815079323e-12,2.3300908199916944e-09
3568.03894157373,2928.0689213172304,3371.996,6.918249092765391e-12,1.741257143269303e-09
3569.216958032537,3039.306148454682,3500.098,7.18107311310273e-12,1.8048350900509014e-09
3570.3949744923448,2699.155660160121,3108.377,6.3773878617361356e-12,1.6005632431273874e-09
3571.572990951153,3183.9374681435775,3666.657,7.522798503833297e-12,1.8853484865903065e-09
3572.7510074109605,3187.7547297827105,3671.053,7.531817679126446e-12,1.8849271573269445e-09
3573.9290238707677,3137.284556673135,3612.931,7.412570066208251e-12,1.8524500918661628e-09
3575.1070403295757,2911.5616092699324,3352.986,6.879246699152387e-12,1.7167295594539167e-09
3576.285056789383,3118.0237103542963,3590.75,7.367061802519138e-12,1.8358575245968584e-09
3577.463073248191,2796.182358015404,3220.114,6.606636176051553e-12,1.6440274848246458e-09
3578.641089707998,3028.451787560877,3487.598,7.155427141500282e-12,1.7780690798422148e-09
3579.819106167806,2880.1438787500324,3316.805,6.805014947268534e-12,1.6886004173369722e-09
3580.997122626614,3391.2661814017024,3905.419,8.012661181572787e-12,1.985453359259805e-09
3582.175139086421,3017.5123284776646,3475.0,7.12958010548047e-12,1.7641370578072923e-09
3583.3531555452287,2912.9509674643377,3354.586,6.8825293835174975e-12,1.7006003339271036e-09
3584.531172005037,3167.2860101836104,3647.481,7.483455531717416e-12,1.8464712045941484e-09
3585.709188464844,2820.071503819361,3247.625,6.663079882031947e-12,1.6417306346911236e-09
3586.8872049236516,3073.814332608265,3539.838,7.262606786021231e-12,1.786924863287068e-09
3588.0652213834587,3065.833338130269,3530.647,7.2437498160213854e-12,1.77977225801457e-09
3589.2432378422673,3084.55320310216,3552.205,7.28797988448583e-12,1.7881161959900425e-09
3590.4212543020744,3302.086752298204,3802.719,7.801953878887076e-12,1.9115245526923197e-09
3591.5992707618816,3113.6802292990305,3585.748,7.356799310522702e-12,1.7999220190963772e-09
3592.7772872206897,3406.5352279582353,3923.003,8.048737882745383e-12,1.9664422267160854e-09
3593.955303680497,3166.0512180883306,3646.059,7.48053804598792e-12,1.825051885718782e-09
3595.1333201403045,3519.907724970716,4053.564,8.316606978616356e-12,2.02617930687693e-09
3596.311336599113,3275.335528613769,3771.912,7.738747843114547e-12,1.882747392674428e-09
3597.48935305892,3526.9752164358893,4061.703,8.333305583646142e-12,2.0245507649858333e-09
3598.6673695177283,3378.4311167319956,3890.638,7.982335333072324e-12,1.936563212979211e-09
3599.8453859775354,3066.4654961087235,3531.375,7.2452434374075096e-12,1.7552758533121963e-09
3601.0234024373426,2975.5293972381733,3426.652,7.030385590677662e-12,1.700836501937532e-09
3602.201418896151,3525.5033650986898,4060.008,8.32982798989685e-12,2.012383838328495e-09
3603.3794353559583,3079.0192157440624,3545.832000000001,7.274904542324037e-12,1.7550673569138525e-09
3604.5574518147655,3207.2231114818383,3693.473,7.577816293792598e-12,1.8255872782395448e-09
3605.7354682745727,3400.0061127933936,3915.484,8.033311317907078e-12,1.9326156822734183e-09
3606.91348473438,3325.7744411639715,3829.998,7.85792159563453e-12,1.887779651823322e-09
3608.0915011931893,3254.819918175607,3748.286,7.690274905108193e-12,1.8449241462263309e-09
3609.269517652996,3325.0511065540086,3829.165,7.856212548086942e-12,1.882102395157367e-09
3610.447534111804,3221.9094959455915,3710.386,7.612516319209574e-12,1.821176186389973e-09
3611.625550571611,4902.313918312435,5645.558000000001,1.1582865611837733e-11,2.7671568513451893e-09
3612.803567031417,3606.845945636863,4153.683,8.522018901085596e-12,2.033080685841427e-09
3613.9815834902265,3263.807328995677,3758.636,7.711509769595021e-12,1.837156798743456e-09
3615.159599950034,3632.181760660744,4182.86,8.581880702161165e-12,2.0416641383815177e-09
3616.337616408842,3490.0903614209997,4019.226,8.24615646878557e-12,1.9590645250555392e-09
3617.5156328686494,3231.0080554212145,3720.864,7.634013798445609e-12,1.8111139518927615e-09
3618.693649328457,3315.337756077361,3817.979,7.833262481019346e-12,1.8558014283864505e-09
3619.871665787265,3321.563817486047,3825.149,7.847973010330509e-12,1.8567038512524995e-09
3621.0496822470723,3363.203750921296,3873.102,7.946357112430684e-12,1.8773698953519816e-09
3622.22769870588,3372.8919192806698,3884.259,7.969247680844164e-12,1.8801653704127424e-09
3623.405715165687,3679.0917033971527,4236.882000000001,8.692716436393758e-12,2.048007348302085e-09
3624.583731625495,3401.9859482204242,3917.764,8.037989143127366e-12,1.891128346068388e-09
3625.761748084303,3414.8896124509783,3932.624,8.068477074168355e-12,1.8956714390787186e-09
3626.93976454411,3270.2035867831787,3766.002,7.726622427740913e-12,1.8128397384079956e-09
3628.117781002918,3467.139900747139,3992.796,8.191930626429354e-12,1.9193515506033096e-09
3629.295797462725,3206.6196090161425,3692.778,7.576390377771499e-12,1.7726763877819803e-09
3630.473813922533,3213.0436539675316,3700.176,7.591568689604693e-12,1.7737720574450283e-09
3631.651830381341,3501.30595544535,4032.142,8.272655938322947e-12,1.930237393162489e-09
3632.829846841148,3591.5595321028986,4136.0790000000015,8.485901166358436e-12,1.9772588222589355e-09
3634.007863299956,3853.9094349061547,4438.2040000000015,9.105764299989595e-12,2.1187614259260145e-09
3635.1858797597633,3619.0358270950396,4167.721,8.550820353034007e-12,1.9868900954269824e-09
3636.3638962195705,3226.39364951804,3715.55,7.623111182997974e-12,1.7688826984485093e-09
3637.541912678378,3366.5877064735478,3876.999,7.954352500537463e-12,1.8432007470800583e-09
3638.719929138185,3237.2983746463924,3728.108,7.648876151908661e-12,1.769973501436175e-09
3639.897945596994,3315.112853719641,3817.72,7.832731096487743e-12,1.8100225623380905e-09
3641.075962056802,3317.739609055942,3820.745,7.838937421615537e-12,1.8089639361822994e-09
3642.253978516609,3486.5006071862003,4015.092,8.237674833057206e-12,1.8983644804598902e-09
3643.4319949754167,3309.7056452967827,3811.493,7.819955299274267e-12,1.7996239744079524e-09
3644.610011435224,3467.3734865935744,3993.065,8.192482527738241e-12,1.8827639315512008e-09
3645.7880278950315,3227.190793782081,3716.468,7.624994623152459e-12,1.7499395006236695e-09
3646.966044353839,3131.6602610324003,3606.454,7.399281349562727e-12,1.6958072187981744e-09
3648.1440608136463,3268.41478810788,3763.942,7.72239597162083e-12,1.7674321439524722e-09
