Wavelength(A),Flux(erg/s/cm2),Original(erg/s/cm2),Flux_factor(er/s/cm2),Flux_corrected(erg/s/cm2)
3558.614809898269,1882.7557838879688,2202.47,4.4484518103221755e-12,1.1324977758375302e-09
3559.792826357077,1912.854641602578,2237.68,4.519567416092717e-12,1.148957063343303e-09
3560.9708428168847,1558.451491201804,1823.095,3.682206910032512e-12,9.347467440655063e-10
3562.148859276692,1758.4426289481332,2057.047,4.154732845881125e-12,1.0531933193681387e-09
3563.3268757354995,1946.570320305273,2277.121,4.59922860914003e-12,1.1642053368618738e-09
3564.504892195307,1453.2798762206594,1700.064,3.433714320042297e-12,8.679380342476241e-10
3565.682908654115,1746.3971019939565,2042.956,4.126272465281502e-12,1.0415084752402149e-09
3566.860925113923,1888.7806844608906,2209.518,4.462687050011775e-12,1.1248174834241015e-09
3568.03894157373,1620.5606251442248,1895.751,3.828954295799749e-12,9.637111831930237e-10
3569.216958032537,1763.5460137977843,2063.0170000000007,4.1667907886942496e-12,1.0472488038889945e-09
3570.3949744923448,1802.4420128001252,2108.518,4.258691702587046e-12,1.0688240312102947e-09
3571.572990951153,1512.9869144465783,1769.91,3.574786191688115e-12,8.959056570435643e-10
3572.7510074109605,1709.82540841979,2000.174,4.039863267721852e-12,1.0110239399873093e-09
3573.9290238707677,1923.3811208385255,2249.994,4.544438690431213e-12,1.1356851664642244e-09
3575.1070403295757,1578.085418040462,1846.063,3.728596663890445e-12,9.304786393211734e-10
3576.285056789383,1761.0037245946246,2060.043,4.160784034602753e-12,1.0368593182611753e-09
3577.463073248191,2011.644888425825,2353.246,4.752982528176737e-12,1.1827552937664464e-09
3578.641089707998,1632.3266199634204,1909.515,3.856754216215136e-12,9.583740124513933e-10
3579.819106167806,1881.9385584413587,2201.514,4.4465209236673454e-12,1.1033623211093834e-09
3580.997122626614,1549.459446774085,1812.576,3.660961097561614e-12,9.071477433726229e-10
3582.175139086421,1601.890955945501,1873.911,3.784842826614046e-12,9.365181945670796e-10
3583.3531555452287,1333.8264772054918,1560.326,3.151477667978569e-12,7.786968534218011e-10
3584.531172005037,1492.7605846429608,1746.249,3.52699674698102e-12,8.702527735209379e-10
3585.709188464844,1716.362357154343,2007.821,4.055308341204594e-12,9.99196175754644e-10
3586.8872049236516,1780.4487321616284,2082.79,4.206727422403448e-12,1.0350423815637188e-09
3588.0652213834587,2323.1872996345296,2717.692,5.489074492409928e-12,1.3486526663523515e-09
3589.2432378422673,1594.6342333343305,1865.422,3.767697118650793e-12,9.244098290921399e-10
3590.4212543020744,1774.1921704003894,2075.471,4.191944828860859e-12,1.027051119282208e-09
3591.5992707618816,1911.2723358476867,2235.829,4.515828847893874e-12,1.1048472895228813e-09
3592.7772872206897,1805.924624169888,2112.592,4.26692018818515e-12,1.0424804681566567e-09
3593.955303680497,1595.836136030915,1866.828,3.770536895467419e-12,9.199104969375577e-10
3595.1333201403045,1559.5388455617294,1824.367,3.684776039556513e-12,8.97723913252357e-10
3596.311336599113,1682.5782913849853,1968.3,3.975485567684072e-12,9.671894263658612e-10
3597.48935305892,1896.8614712253384,2218.971,4.4817798026771816e-12,1.0888345131390345e-09
3598.6673695177283,1913.534238077532,2238.475,4.521173122045219e-12,1.0968641609664396e-09
3599.8453859775354,1875.742690201782,2194.266,4.4318817327947266e-12,1.0736940804701988e-09
