Wavelength(A),Flux(erg/s/cm2),Original(erg/s/cm2),Flux_factor(er/s/cm2),Flux_corrected(erg/s/cm2)
3558.614809898269,2394.347698470716,2910.805,5.6572076128788945e-12,1.4402257936503275e-09
3559.792826357077,2147.176224420523,2610.319,5.073207074621084e-12,1.289702435112328e-09
3560.9708428168847,2097.2962599132597,2549.68,4.955353967855993e-12,1.257941528088811e-09
3562.148859276692,2205.2144614583867,2680.876,5.210336012334843e-12,1.3207807296910592e-09
3563.3268757354995,2147.8836366383407,2611.179,5.074878501785417e-12,1.284606862977593e-09
3564.504892195307,1899.8188490200666,2309.607,4.488767300852647e-12,1.1346231818286702e-09
3565.682908654115,1807.6290533085348,2197.532,4.270947301500783e-12,1.0780257118851998e-09
3566.860925113923,1868.8350164519986,2271.94,4.415560734574828e-12,1.1129393250547625e-09
3568.03894157373,2114.696955326882,2570.834,4.996467189058663e-12,1.2575630144854238e-09
3569.216958032537,1759.5307805033567,2139.059,4.157303858965862e-12,1.0448644327231587e-09
3570.3949744923448,2222.883315456903,2702.356,5.252082821043993e-12,1.3181401061806114e-09
3571.572990951153,2360.513652722719,2869.673,5.577266749944781e-12,1.397763268677313e-09
3572.7510074109605,1600.7825433909888,1946.069,3.7822239421698185e-12,9.465466275751547e-10
3573.9290238707677,1834.4901532769488,2230.187,4.334412945746467e-12,1.0831983492658092e-09
3575.1070403295757,1943.287684660271,2362.452,4.5914726130609814e-12,1.1458110314950773e-09
3576.285056789383,1946.4800879362601,2366.333,4.599015414020026e-12,1.1460657287656393e-09
3577.463073248191,1939.9488635066407,2358.393,4.583583865549323e-12,1.14060130649808e-09
3578.641089707998,1911.9633071408343,2324.371,4.517461429520332e-12,1.1225547166322993e-09
3579.819106167806,1888.4451411877815,2295.78,4.4618942503861e-12,1.107177067456644e-09
3580.997122626614,2211.767895341356,2688.843,5.2258200358444235e-12,1.2949033673002379e-09
3582.175139086421,2277.9257440095435,2769.271,5.382133459068799e-12,1.331750389887505e-09
3583.3531555452287,2130.7428740861487,2590.341,5.034379432889641e-12,1.2439419968465581e-09
3584.531172005037,2279.8768856149663,2771.643,5.3867434884104235e-12,1.329127526144625e-09
3585.709188464844,1881.8801912919641,2287.799,4.4463830175970995e-12,1.095553909423252e-09
3586.8872049236516,2046.4357891692066,2487.849,4.8351841853003365e-12,1.1896707468612687e-09
3588.0652213834587,2116.3963897943368,2572.9,5.000482501292979e-12,1.2286067656291175e-09
3589.2432378422673,1854.463032417451,2254.468,4.38160355385945e-12,1.0750326432351782e-09
3590.4212543020744,2468.3512421779087,3000.771,5.832058329467695e-12,1.4288885659372158e-09
3591.5992707618816,2010.565054291772,2444.241,4.750431166948911e-12,1.1622453320648673e-09
3592.7772872206897,2022.6173843097547,2458.893,4.778907621381244e-12,1.1675676213043708e-09
3593.955303680497,2277.162396872177,2768.343,5.380329872547285e-12,1.3126570735039576e-09
3595.1333201403045,2412.223018128153,2932.536,5.699442245097635e-12,1.388558094358607e-09
3596.311336599113,2472.251057671716,3005.512,5.841272557591072e-12,1.4211137125355868e-09
3597.48935305892,2138.2792819229458,2599.503,5.05218596274966e-12,1.2274129219272181e-09
3598.6673695177283,2363.330140436449,2873.097,5.583921362282775e-12,1.354693362675798e-09
3599.8453859775354,2025.4700652067213,2462.361,4.785647748597412e-12,1.1593995437338465e-09
3601.0234024373426,1824.958184928029,2218.599,4.3118914364670616e-12,1.0431607559704457e-09
3602.201418896151,2161.090035658181,2627.234000000001,5.106081714719559e-12,1.2335664472722843e-09
3603.3794353559583,1813.9636829473886,2205.233,4.2859143487013975e-12,1.0339748548139054e-09
3604.5574518147655,2288.3123650262687,2781.898,5.406674285585113e-12,1.3025330003624403e-09
3605.7354682745727,2055.820517068139,2499.258,4.857357804507166e-12,1.1685599494293512e-09
3606.91348473438,2062.825543169227,2507.774,4.873908820473978e-12,1.1709032451080358e-09
3608.0915011931893,2384.7186665849326,2899.099,5.634456768244384e-12,1.3517261048363257e-09
3609.269517652996,2405.1727505480194,2923.965,5.682784335533105e-12,1.3614170878910467e-09
3610.447534111804,2304.875681791358,2802.034,5.4458090034700045e-12,1.302825144390294e-09
