Wavelength(A),Flux(erg/s/cm2),Original(erg/s/cm2),Flux_factor(er/s/cm2),Flux_corrected(erg/s/cm2)
3558.614809898269,2759.6149938930394,3248.322,6.520237207836499e-12,1.6599379853174475e-09
3559.792826357077,2524.2545531722235,2971.281,5.964143004030277e-12,1.516194715200052e-09
3560.9708428168847,2484.3749331581585,2924.3390000000004,5.869918054961107e-12,1.490108221473567e-09
3562.148859276692,2414.119619445425,2841.6420000000007,5.703923410225625e-12,1.4459013979184355e-09
3563.3268757354995,1987.0070370737521,2338.891,4.694769829861054e-12,1.1883897400534586e-09
3564.504892195307,2405.534907242236,2831.5370000000007,5.683640015603668e-12,1.436650484788559e-09
3565.682908654115,2923.580023545686,3441.324,6.907643019694703e-12,1.7435515491231936e-09
3566.860925113923,2659.5395927934524,3130.524000000001,6.283785617566592e-12,1.5838242398622075e-09
3568.03894157373,2240.6251769493174,2637.423,5.294002127068611e-12,1.3324497133069199e-09
3569.216958032537,2454.662738740113,2889.365,5.79971603185291e-12,1.4576555400222337e-09
3570.3949744923448,2400.6542371178093,2825.792,5.672108288527648e-12,1.4235558875329345e-09
3571.572990951153,2081.6181265562273,2450.257,4.918310703237498e-12,1.2326170422090577e-09
3572.7510074109605,2191.4200363163104,2579.504,5.177743449868295e-12,1.2957920196842042e-09
3573.9290238707677,2186.6965331149513,2573.944,5.166583066484021e-12,1.2911631445850537e-09
3575.1070403295757,2410.9253079279597,2837.882,5.6963761005988495e-12,1.4215418724363818e-09
3576.285056789383,2622.122820941391,3086.481,6.195379724510196e-12,1.5438766213536605e-09
3577.463073248191,2453.8063913971328,2888.357,5.79769271054871e-12,1.4427260576661732e-09
3578.641089707998,2288.359744912981,2693.611,5.406786231672132e-12,1.3435451482826679e-09
3579.819106167806,2410.260109545466,2837.099,5.6948044135143375e-12,1.4131121215498005e-09
3580.997122626614,2510.8477898591573,2955.5,5.932466383493008e-12,1.4700029169946827e-09
3582.175139086421,2325.6286949022656,2737.48,5.4948428609319706e-12,1.359639105583016e-09
3583.3531555452287,1980.1205771906195,2330.785,4.678498954373118e-12,1.1560076885597361e-09
3584.531172005037,1882.3780429599053,2215.733,4.4475593088465945e-12,1.0973927966436662e-09
3585.709188464844,2154.163829591058,2535.65,5.089716929556435e-12,1.254066340656064e-09
3586.8872049236516,2210.9843448098527,2602.533,5.223968714069092e-12,1.2853290636870427e-09
3588.0652213834587,2542.053494821805,2992.232,6.006197175304363e-12,1.4757084908053122e-09
3589.2432378422673,2252.258077909068,2651.116,5.321487582047183e-12,1.3056345219166005e-09
3590.4212543020744,2469.728675030203,2907.099,5.8353128374170656e-12,1.4296859395116726e-09
3591.5992707618816,2163.58365036384,2546.738,5.111973463902626e-12,1.2507006390066895e-09
