Wavelength(A),Flux(erg/s/cm2),Original(erg/s/cm2),Flux_factor(er/s/cm2),Flux_corrected(erg/s/cm2)
5326.346834152776,395.0280525858457,833.0764,9.333463589338852e-13,3.4732780682998206e-11
5327.399131319703,375.07100763389815,790.9889,8.861931628024986e-13,3.2944008840572665e-11
5328.45142848563,300.40005542579536,633.515,7.097655372064318e-13,2.6358127543384623e-11
5329.503725652557,252.27250645612824,532.0186,5.960529228713036e-13,2.2112422655793547e-11
5330.556022819483,241.92343612680838,510.1934,5.71600818654927e-13,2.118343903378592e-11
5331.608319985409,257.281315758936,542.5817,6.078874087888673e-13,2.2505007168376573e-11
5332.660617152335,249.814832230148,526.8356,5.902460914950286e-13,2.1829398693048745e-11
5333.712914319262,275.9409097718277,581.933,6.519750729866708e-13,2.408754576329312e-11
5334.765211486189,260.11605781136797,548.5599,6.145851512804064e-13,2.268280690248414e-11
5335.817508652116,280.3143180592363,591.1561,6.623082750832411e-13,2.44190266228343e-11
5336.869805819043,225.20466029005738,474.9351,5.320987922775161e-13,1.959810763347081e-11
5337.922102985969,232.8177602322494,490.9904,5.500865252112437e-13,2.0239828771964258e-11
5338.974400151897,237.5916134133181,501.05800000000005,5.613658722233576e-13,2.0633650023491468e-11
5340.026697318824,261.7751657313531,552.0588,6.1850518259479e-13,2.271056228365741e-11
5341.07899448575,253.19141961115955,533.9565,5.982240705703358e-13,2.1943362742327743e-11
5342.131291651677,262.24692727629383,553.0537,6.196198298138246e-13,2.2704901730957156e-11
5343.183588818603,238.5904258751365,503.1644,5.637258007610744e-13,2.063561968733092e-11
5344.235885985529,259.6952706016179,547.6725,6.135909428753695e-13,2.2437997398584623e-11
5345.288183151457,246.8935997708437,520.675,5.833439951460646e-13,2.1310110408490415e-11
5346.340480318383,260.921120381476,550.2577,6.164873002888266e-13,2.2497858634358182e-11
5347.39277748531,259.44585199408056,547.1465,6.130016329575764e-13,2.2347812927395673e-11
5348.445074652236,233.22768872315424,491.8549,5.510550773479965e-13,2.006896691326909e-11
5349.497371818163,248.44634914772868,523.9496,5.870127294745905e-13,2.1356712778726666e-11
5350.54966898509,248.3011552739114,523.6434,5.866696749178829e-13,2.1322477932919856e-11
5351.601966152017,262.40407048263944,553.3851,6.19991117469255e-13,2.2510591845103016e-11
5352.654263317943,271.4310799380532,572.4222,6.413195430130111e-13,2.32612795178342e-11
5353.7065604848685,260.4436686781884,549.2508,6.153592087370665e-13,2.2296966244242253e-11
5354.7588576517965,273.71942453522826,577.2481,6.467262934546022e-13,2.34096976428048e-11
5355.811154817724,250.42182987179905,528.1157,5.916802656885014e-13,2.1395421789215467e-11
5356.86345198465,240.34176177832688,506.8578,5.678637423017141e-13,2.0513353202993737e-11
5357.915749151577,218.13810005708103,460.0324,5.154023875020548e-13,1.859935832403839e-11
5358.968046317505,216.30117468875667,456.1585,5.110622207900052e-13,1.8424028600951528e-11
5360.020343484432,263.90508683655435,556.5506,6.235376204060871e-13,2.245603295814986e-11
5361.072640651357,245.42278867415345,517.5732,5.798688592087829e-13,2.086219427418175e-11
5362.124937817284,253.4017657980484,534.4001,5.987210627367481e-13,2.15186403847434e-11
5363.17723498421,258.8123476981305,545.8105,6.115048305808251e-13,2.1955864628513363e-11
5364.229532151137,226.69296862366426,478.0738,5.35615269537928e-13,1.9211630822936712e-11
5365.281829318064,230.3943217923227,485.8796,5.443605839035323e-13,1.950557935962305e-11
5366.334126483991,255.29910168082185,538.4014,6.032039634478981e-13,2.1592232081796985e-11
5367.386423650917,217.23042496478482,458.1182,5.132577923601552e-13,1.835398382466775e-11
5368.438720817843,254.3569537125409,536.4145,6.009779180569043e-13,2.1469158288924698e-11
5369.491017983772,261.89537032643045,552.3123,6.187891941236122e-13,2.208315926936997e-11
5370.543315150699,252.00687089730243,531.4584,5.954252966052435e-13,2.1227948067112926e-11
5371.595612317624,244.9019969314573,516.4749,5.786383666560988e-13,2.060869457482353e-11
5372.647909483551,222.2752245191364,468.7572,5.251773136822063e-13,1.8685813380964305e-11
5373.700206650478,270.8614002515603,571.2208,6.399735412349953e-13,2.2747366924375863e-11
5374.752503817404,241.48401364847237,509.2667,5.705625800602148e-13,2.0259827109452096e-11
5375.804800983331,236.99201297751802,499.7935,5.59949175662428e-13,1.9862991943088492e-11
5376.857098150258,269.7817875412165,568.944,6.374227031725789e-13,2.2588503707991727e-11
5377.909395317185,217.4345119774921,458.5486,5.137399957605699e-13,1.8187267932603534e-11
5378.96169248411,240.55775070557635,507.3133,5.683740667647459e-13,2.010123609435419e-11
5380.013989650038,277.69599169592976,585.6343,6.561218653796877e-13,2.31812962477902e-11
5381.066286816965,241.3311854788729,508.9444,5.70201487690434e-13,2.012549267085995e-11
5382.118583983891,236.8053283657549,499.3998,5.595080895129316e-13,1.9728305563405304e-11
5383.170881149818,249.516098916938,526.2056,5.895402640269496e-13,2.07664567416388e-11
5384.2231783167435,260.03905100174063,548.3975,6.144032046441908e-13,2.1620622297208947e-11
5385.2754754836715,213.87996489418254,451.0524,5.053415451792784e-13,1.7765023346051087e-11
5386.327772649598,222.4861397218599,469.202,5.256756502818913e-13,1.8461414520531246e-11
5387.380069816525,223.5087085947764,471.3585,5.280917089087362e-13,1.852776657705866e-11
5388.432366983451,217.5787100735988,458.8527,5.140806975590507e-13,1.8018220668619246e-11
5389.48466414938,244.8496948926524,516.3646,5.785147908311317e-13,2.02563982791654e-11
5390.536961316305,233.7579166451089,492.9731,5.523078650857835e-13,1.9319523880092364e-11
5391.589258483232,215.1693073575943,453.7715,5.083879189387285e-13,1.776552796740975e-11
5392.641555650157,223.3257225859388,470.9726,5.276593615755114e-13,1.8420631936984233e-11
5393.693852816085,243.82684151181846,514.2075,5.760980599876505e-13,2.0091647283939616e-11
5394.746149983012,232.01668077298427,489.301,5.481937872357315e-13,1.9099490071306223e-11
5395.798447149938,252.35306961472253,532.1885,5.962432722154729e-13,2.075295577162803e-11
5396.850744315865,232.08614812280217,489.4475,5.483579201310864e-13,1.9067320678597826e-11
5397.903041482792,221.5586439113221,467.246,5.23484224047665e-13,1.818438029480914e-11
5398.955338649718,262.6761548875917,553.9589,6.20633980645737e-13,2.153773803600409e-11
