Wavelength(A),Flux(erg/s/cm2),Original(erg/s/cm2),Flux_factor(er/s/cm2),Flux_corrected(erg/s/cm2)
3558.614809898269,3385.099120347043,3962.704,7.99809005442622e-12,2.0361733888109626e-09
3559.792826357077,3217.756977890905,3766.808,7.602705022058958e-12,1.932747281190471e-09
3560.9708428168847,3826.4019178481044,4479.307,9.040771343865644e-12,2.2950452769218574e-09
3562.148859276692,3313.4642866491276,3878.846,7.828835970400746e-12,1.9845506434015752e-09
3563.3268757354995,3224.2842235238304,3774.449,7.618127169689937e-12,1.928380835477499e-09
3564.504892195307,2575.1380703814198,3014.538,6.08436723926135e-12,1.5379420793574024e-09
3565.682908654115,2971.654788306121,3478.713,7.0212309189642215e-12,1.7722221618297798e-09
3566.860925113923,3155.747717258269,3694.218,7.456193610393894e-12,1.8793289421322956e-09
3568.03894157373,3241.2161088386047,3794.27,7.658132717156714e-12,1.927478776645675e-09
3569.216958032537,3165.2699273184967,3705.365,7.478692063429165e-12,1.879636323314098e-09
3570.3949744923448,3044.830670442958,3564.375,7.194126091109874e-12,1.8055439056704178e-09
3571.572990951153,3214.188818617417,3762.631,7.594274409488009e-12,1.9032616329393833e-09
3572.7510074109605,3084.082985170464,3610.325,7.286868884414869e-12,1.8236258015352436e-09
3573.9290238707677,3309.3067019749437,3873.979,7.81901270217408e-12,1.954022784145396e-09
3575.1070403295757,3342.962038114972,3913.377,7.898531321774305e-12,1.971094044066379e-09
3576.285056789383,3215.2796827285606,3763.908,7.596851831621863e-12,1.89312075454035e-09
3577.463073248191,2605.4627258876603,3050.0370000000007,6.1560163452359774e-12,1.5318930540301541e-09
3578.641089707998,3299.287324402824,3862.25,7.79533957436833e-12,1.9370824396583163e-09
3579.819106167806,2964.847352047939,3470.744,7.005146755311392e-12,1.7382612420673013e-09
3580.997122626614,3460.7206907769114,4051.229,8.176763738372353e-12,2.0261162508107574e-09
3582.175139086421,2953.496214766131,3457.456,6.97832703306032e-12,1.726711130022501e-09
3583.3531555452287,2961.5508410025977,3466.885,6.997357975346997e-12,1.7289732664244617e-09
3584.531172005037,3018.4252667314904,3533.4640000000004,7.131737136075037e-12,1.7596880484803496e-09
3585.709188464844,3465.170425432311,4056.438,8.187277279402295e-12,2.0172809214777626e-09
3586.8872049236516,2965.9570094327282,3472.043,7.007768580958906e-12,1.7242233102279368e-09
3588.0652213834587,3158.5111827238507,3697.453,7.462722945243548e-12,1.8335734397972805e-09
3589.2432378422673,3031.951298317896,3549.298,7.163695555861572e-12,1.7576228597784724e-09
3590.4212543020744,3085.30198523828,3611.752,7.289749057778227e-12,1.786031361274402e-09
3591.5992707618816,2779.7481287160526,3254.061,6.567806457559343e-12,1.6068862233628765e-09
3592.7772872206897,3322.910469375064,3889.9040000000014,7.851154791039849e-12,1.9181693495923555e-09
3593.955303680497,3594.661206287233,4208.024,8.493229598573813e-12,2.0721216307473e-09
