Wavelength(A),Flux(erg/s/cm2),Original(erg/s/cm2),Flux_factor(er/s/cm2),Flux_corrected(erg/s/cm2)
3558.614809898269,1511.3708192288025,1792.295,3.5709677879638024e-12,9.091057405797951e-10
3559.792826357077,1559.2469100853384,1849.07,3.684086273571162e-12,9.36562408807945e-10
3560.9708428168847,1338.2326602739106,1586.975,3.1618883081768655e-12,8.026612500004845e-10
3562.148859276692,1584.491587002505,1879.007,3.743732739509121e-12,9.490079042409746e-10
3563.3268757354995,1310.6302281821975,1554.2420000000004,3.0966710930401716e-12,7.838621037142483e-10
3564.504892195307,1450.8002911771225,1720.466,3.427855719224197e-12,8.664571590193551e-10
3565.682908654115,1624.8457979745792,1926.862,3.839079020948843e-12,9.690182534183054e-10
3566.860925113923,1325.768433079715,1572.194,3.1324386501273296e-12,7.895292051472253e-10
3568.03894157373,1236.0691721974347,1465.822,2.920503123028673e-12,7.350627097587273e-10
3569.216958032537,1201.3049322740258,1424.596,2.838364458340888e-12,7.133724573030495e-10
3570.3949744923448,1237.457178283738,1467.4679999999996,2.9237826127214915e-12,7.337955730895451e-10
3571.572990951153,1515.4294299781195,1797.108,3.580557207095959e-12,8.973519772074932e-10
3572.7510074109605,1262.433698496503,1497.0870000000002,2.9827954955960735e-12,7.464801292234164e-10
3573.9290238707677,1202.07567198416,1425.51,2.8401855115481987e-12,7.097810698301725e-10
3575.1070403295757,1343.7770952784324,1593.55,3.1749883353520024e-12,7.923245908439004e-10
3576.285056789383,1184.755110008057,1404.97,2.7992616243729434e-12,6.975705721191339e-10
3577.463073248191,1407.0072656121292,1668.533,3.324384432336533e-12,8.272559940103763e-10
3578.641089707998,1421.7272135115866,1685.989,3.35916375923679e-12,8.34726578345559e-10
3579.819106167806,1329.5487680037104,1576.677,3.141370577401267e-12,7.795015454211524e-10
3580.997122626614,1370.5134992713402,1625.256,3.238159356129933e-12,8.023819085514816e-10
3582.175139086421,1514.6536307075253,1796.188,3.5787241994912257e-12,8.855163819733455e-10
3583.3531555452287,1654.0892141756146,1961.541,3.908173445649464e-12,9.656683896814373e-10
3584.531172005037,1059.820226819474,1256.813,2.5040736812266687e-12,6.178562733446207e-10
3585.709188464844,1462.5637692475527,1734.4160000000004,3.4556496932307613e-12,8.514449870902394e-10
3586.8872049236516,1709.9703729405808,2027.809,4.040205780378281e-12,9.940706380593212e-10
3588.0652213834587,1331.1964981936474,1578.631,3.1452637261617566e-12,7.727838848853064e-10
3589.2432378422673,1644.7619144668674,1950.48,3.8861355140016774e-12,9.534688572879797e-10
3590.4212543020744,1287.8537735096302,1527.2320000000002,3.042856380644668e-12,7.455176962348917e-10
3591.5992707618816,1223.0762209351276,1450.414,2.8898042304485212e-12,7.070224489911487e-10
3592.7772872206897,1496.628103307273,1774.812,3.536134666275145e-12,8.639372567995964e-10
3593.955303680497,1376.4905266952262,1632.344,3.2522814842846658e-12,7.934699909674911e-10
3595.1333201403045,1372.951364153176,1628.1470000000004,3.2439193832878515e-12,7.903177755657676e-10
3596.311336599113,1134.5996871641107,1345.4920000000004,2.6807576827268906e-12,6.521971822659486e-10
3597.48935305892,1643.4253472452453,1948.895,3.882977560682653e-12,9.43357364252959e-10
3598.6673695177283,1288.0747076497341,1527.494,3.0433783893321027e-12,7.383421500143927e-10
3599.8453859775354,1404.9320025632885,1666.072,3.3194811369938702e-12,8.04197282759008e-10
3601.0234024373426,1597.5376636496467,1894.478,3.774557153262208e-12,9.131653594406856e-10
3602.201418896151,1316.6595377308413,1561.392,3.1109167499682682e-12,7.515591675620033e-10
3603.3794353559583,1763.2939238928147,2091.044,4.166195167210188e-12,1.0050926576373988e-09
3604.5574518147655,1268.075951669926,1503.7779999999998,2.996126641121373e-12,7.218030192294682e-10
3605.7354682745727,1796.2831013546995,2130.165,4.244139830802358e-12,1.0210348970898384e-09
3606.91348473438,1698.5011926369311,2014.208,4.0131071538217736e-12,9.64105066889459e-10
3608.0915011931893,1582.2367095573197,1876.333,3.73840506305797e-12,8.968565954162577e-10
3609.269517652996,1324.8560256766893,1571.112,3.130282873792197e-12,7.499177063022583e-10
3610.447534111804,1141.1560342607124,1353.267,2.696248589386463e-12,6.450355595543782e-10
3611.625550571611,1746.976841408024,2071.694,4.127642235523662e-12,9.860973851114975e-10
3612.803567031417,1775.3078502060346,2105.291,4.194580883889149e-12,1.000692615120619e-09
3613.9815834902265,1772.278016750331,2101.698,4.1874221922328334e-12,9.975933869657512e-10
3615.159599950034,1836.0900365369746,2177.371,4.338193044920916e-12,1.0320736762235197e-09
3616.337616408842,1539.849398540241,1826.067,3.638255106254103e-12,8.643513543242625e-10
3617.5156328686494,1791.2741364989035,2124.225,4.232304977354401e-12,1.0040834082213044e-09
3618.693649328457,1409.4746445966516,1671.4589999999996,3.3302141934794162e-12,7.889709137242771e-10
3619.871665787265,1606.9981984505175,1905.697,3.7969098840421106e-12,8.982876464126343e-10
3621.0496822470723,1609.5937529667033,1908.775,3.803042489919688e-12,8.984893807693121e-10
3622.22769870588,1366.3267129903588,1620.2910000000004,3.2282670922630803e-12,7.616372631893321e-10
3623.405715165687,1769.7811236631244,2098.737,4.18152269710499e-12,9.851683617458167e-10
