Wavelength(A),Flux(erg/s/cm2),Original(erg/s/cm2),Flux_factor(er/s/cm2),Flux_corrected(erg/s/cm2)
5326.346834152776,367.89826126835027,780.0379,8.692458684014622e-13,3.234739795982742e-11
5327.399131319703,338.0725947897241,716.7999,7.987757409551271e-13,2.9694288080989574e-11
5328.45142848563,295.7821032202188,627.1333,6.988545427882093e-13,2.5952932634045114e-11
5329.503725652557,249.2116063438792,528.3919999999998,5.888208289576515e-13,2.184412581306571e-11
5330.556022819483,247.0559216099026,523.8214,5.837275185350224e-13,2.1632852679125883e-11
5331.608319985409,247.8865294918013,525.5825,5.856900243297302e-13,2.1683222921574388e-11
5332.660617152335,224.32091375172092,475.6174,5.300107339526012e-13,1.9601681044158452e-11
5333.712914319262,241.2365255440375,511.4828,5.699778314084631e-13,2.105811658599195e-11
5334.765211486189,209.8359065357286,444.9055,4.957865094812532e-13,1.8298244980359025e-11
5335.817508652116,175.034327686648,371.1173,4.135596228302575e-13,1.5247768780711864e-11
5336.869805819043,221.5712436867221,469.7874,5.235139939701201e-13,1.9281914844308764e-11
5337.922102985969,231.84920853911427,491.5793,5.477980948319089e-13,2.0155628492714534e-11
5338.974400151897,248.22922422065682,526.3091,5.864997209457284e-13,2.1557473618657288e-11
5340.026697318824,219.99940399107533,466.4547,5.198001542892258e-13,1.908626493559091e-11
5341.07899448575,224.56786525189813,476.141,5.305942147510277e-13,1.9462642671937465e-11
5342.131291651677,223.38314891634568,473.6291,5.27795044740394e-13,1.9340140596399956e-11
5343.183588818603,243.0437615226073,515.3146,5.742478499787666e-13,2.102078745097511e-11
5344.235885985529,193.0935758380742,409.4075,4.562288292242875e-13,1.668352735997465e-11
5345.288183151457,221.4840843337184,469.6026,5.233080595706755e-13,1.91169406386221e-11
5346.340480318383,255.93858218780204,542.6549,6.047148860238825e-13,2.2068240519283095e-11
5347.39277748531,222.82680057866608,472.4495,5.264805413984843e-13,1.9193568200333944e-11
5348.445074652236,202.19073897953479,428.6958,4.777230092935993e-13,1.7398274076995844e-11
5349.497371818163,232.9208252380309,493.8514,5.503300404432631e-13,2.0022122208102053e-11
5350.54966898509,227.11831393860263,481.5486,5.366202475347779e-13,1.9503434173617135e-11
5351.601966152017,200.3562892852273,424.8063,4.733886919416508e-13,1.7187761772916282e-11
5352.654263317943,242.81855269652888,514.8371,5.737157413438377e-13,2.0809224307249474e-11
5353.7065604848685,230.6168092458309,488.9663,5.448862626579426e-13,1.9743444857793096e-11
5354.7588576517965,231.0606710808516,489.9074,5.459349902732965e-13,1.9761332087888232e-11
5355.811154817724,236.91935488538124,502.3293,5.597775038905145e-13,2.0241803721331234e-11
5356.86345198465,244.77921366174442,518.9942,5.783482624040733e-13,2.0892093115409753e-11
5357.915749151577,233.88618110236007,495.8982,5.526109199280214e-13,1.9942104970316577e-11
5358.968046317505,223.66042696629646,474.217,5.284501791204456e-13,1.905087251263214e-11
5360.020343484432,215.9266851325372,457.8195,5.101774014424469e-13,1.8373487286675025e-11
5361.072640651357,230.81895480155282,489.3949,5.453638789112002e-13,1.96207935833821e-11
5362.124937817284,229.2257969091756,486.017,5.41599669994078e-13,1.9465639771926028e-11
5363.17723498421,216.50807763495982,459.0522,5.115510774932884e-13,1.836706048150877e-11
5364.229532151137,231.2146620373219,490.2339,5.46298829999588e-13,1.9594832406493137e-11
5365.281829318064,261.32185133958404,554.0688,6.17434121098675e-13,2.212395717938968e-11
5366.334126483991,193.18969637996898,409.6113,4.564559365327658e-13,1.633925357584422e-11
5367.386423650917,199.00098021168012,421.9327,4.701864566048314e-13,1.6813762494320505e-11
5368.438720817843,227.66754048932148,482.7131,5.379179239858242e-13,1.9216421618020125e-11
5369.491017983772,218.1691519063009,462.5741,5.154757547736139e-13,1.839614088330448e-11
5370.543315150699,215.21766643464485,456.3162,5.08502178592419e-13,1.8128987634077945e-11
5371.595612317624,211.8948575938336,449.271,5.006512639226804e-13,1.7831117985327144e-11
5372.647909483551,231.15462207175167,490.1066,5.461569715090616e-13,1.9432269788611655e-11
5373.700206650478,208.20445135188004,441.4464,4.919318142371021e-13,1.7485337688540934e-11
5374.752503817404,227.36851976527188,482.0791,5.372114174422748e-13,1.9075577016381892e-11
5375.804800983331,237.829340035194,504.2587,5.619275570847166e-13,1.9933170766380424e-11
5376.857098150258,203.70418945493347,431.9047,4.812988907566838e-13,1.7055906111279767e-11
5377.909395317185,213.8656588517416,453.4496,5.05307743801033e-13,1.7888751899339903e-11
