Wavelength(A),Flux(erg/s/cm2),Original(erg/s/cm2),Flux_factor(er/s/cm2),Flux_corrected(erg/s/cm2)
5326.346834152776,6644.513157663027,12850.34,1.569921964275023e-11,5.842177960266588e-10
5327.399131319703,6536.5905045451,12641.62,1.5444227080387306e-11,5.741352730177672e-10
5328.45142848563,6363.408566020821,12306.69,1.5035044161106852e-11,5.583472158688567e-10
5329.503725652557,6218.59303584289,12026.62,1.46928835299216e-11,5.450778583232009e-10
5330.556022819483,6382.9537762922755,12344.49,1.5081224301281817e-11,5.589078691189174e-10
5331.608319985409,6454.226574805954,12482.33,1.5249622992332534e-11,5.645665131331622e-10
5332.660617152335,6578.354172101324,12722.39,1.5542903533348463e-11,5.748318251759526e-10
5333.712914319262,6518.094944454891,12605.85,1.540052698477729e-11,5.689801863517527e-10
5334.765211486189,6384.794542127364,12348.05,1.5085573541996703e-11,5.567709388250625e-10
5335.817508652116,6371.635134682695,12322.6,1.5054481357672562e-11,5.550523749982828e-10
5336.869805819043,6306.494775158948,12196.62,1.4900571991025946e-11,5.488135247037027e-10
5337.922102985969,6296.46363549582,12177.22,1.4876871072523446e-11,5.473781112068373e-10
5338.974400151897,6283.90402815472,12152.93,1.4847196056522126e-11,5.457258134469353e-10
5340.026697318824,6326.019302668208,12234.38,1.4946703263327708e-11,5.488200340910268e-10
5341.07899448575,6335.590250872562,12252.89,1.4969316871651478e-11,5.49087150248453e-10
5342.131291651677,6268.940049708797,12123.99,1.4811840150261185e-11,5.427543775791897e-10
5343.183588818603,6372.529664147499,12324.33,1.50565948931885e-11,5.511583212664284e-10
5344.235885985529,6301.339596682588,12186.65,1.488839167363059e-11,5.444436517862461e-10
5345.288183151457,6199.259823883906,11989.23,1.464720428544695e-11,5.350762896263855e-10
5346.340480318383,6334.540600691318,12250.86,1.4966836827086527e-11,5.461941859654582e-10
5347.39277748531,6244.353416153042,12076.44,1.4753748465993474e-11,5.378680789235212e-10
5348.445074652236,6297.751137442273,12179.71,1.4879913097630208e-11,5.419140407267782e-10
5349.497371818163,6355.130290453468,12290.68,1.5015484794858143e-11,5.462937682529489e-10
5350.54966898509,6210.795634496501,12011.54,1.467446034172482e-11,5.333424756575863e-10
5351.601966152017,6278.180073718081,12141.86,1.4833671872613745e-11,5.385798661948597e-10
5352.654263317943,6292.4977158455,12169.55,1.4867500657837148e-11,5.392586149936138e-10
5353.7065604848685,6190.754037932439,11972.78,1.4627107372593028e-11,5.299995753812931e-10
5354.7588576517965,6260.3101671841805,12107.3,1.479145003016806e-11,5.354094559156758e-10
5355.811154817724,6192.765436555613,11976.67,1.463185977326183e-11,5.290945626609824e-10
5356.86345198465,6238.2209771631115,12064.58,1.4739259141589372e-11,5.324369319589933e-10
5357.915749151577,6211.297191479654,12012.51,1.467564538764994e-11,5.296009367056615e-10
5358.968046317505,6184.120041959351,11959.95,1.4611433002263798e-11,5.267488939379258e-10
5360.020343484432,6226.0026353981775,12040.95,1.4710390445495867e-11,5.297788006057624e-10
5361.072640651357,6259.06920145266,12104.9,1.4788517957776e-11,5.320529457010638e-10
5362.124937817284,6355.181997358948,12290.78,1.5015606964541146e-11,5.396760971656014e-10
5363.17723498421,6358.604994501726,12297.4,1.5023694597555914e-11,5.394204400491101e-10
5364.229532151137,6354.830390401685,12290.1,1.501477621069673e-11,5.385551044834279e-10
5365.281829318064,6266.716652773158,12119.69,1.480658685389208e-11,5.305510050943077e-10
