Wavelength(A),Flux(erg/s/cm2),Original(erg/s/cm2),Flux_factor(er/s/cm2),Flux_corrected(erg/s/cm2)
3558.614809898269,24755.6096511746,31501.82,5.849092989691197e-11,1.4890764436565691e-08
3559.792826357077,23824.40457259969,30316.85,5.629073964758847e-11,1.4310140100715533e-08
3560.9708428168847,24282.003260544672,30899.15,5.7371923797550974e-11,1.456415141268137e-08
3562.148859276692,24454.630263431285,31118.82,5.77797955513244e-11,1.4646740699450711e-08
3563.3268757354995,23624.72871716445,30062.76,5.5818958640094104e-11,1.4129484543935443e-08
3564.504892195307,24137.454569731344,30715.21,5.7030393636905074e-11,1.4415540470755839e-08
3565.682908654115,24360.55652320478,30999.11,5.755752429150642e-11,1.4528039500018524e-08
3566.860925113923,24940.464432842637,31737.05,5.892769264394216e-11,1.4852688122859314e-08
3568.03894157373,25114.113036784238,31958.02,5.933797816964578e-11,1.4934801706272927e-08
3569.216958032537,24268.643862133093,30882.15,5.7340359087694625e-11,1.4411480084886007e-08
3570.3949744923448,24256.384649473053,30866.55,5.731139382453231e-11,1.4383712008222171e-08
3571.572990951153,23917.56673034635,30435.4,5.651085708014568e-11,1.4162636260652758e-08
3572.7510074109605,24206.55409339784,30803.14,5.719365745676804e-11,1.4313394556255417e-08
3573.9290238707677,24310.26231742,30935.11,5.74386924426354e-11,1.4354307634418105e-08
3575.1070403295757,24441.71879778997,31102.39,5.7749289187622035e-11,1.4411448828846122e-08
3576.285056789383,23763.084933890517,30238.82,5.614585762934774e-11,1.3991438916466753e-08
3577.463073248191,24155.772662494528,30738.52,5.707367442436109e-11,1.4202490785509073e-08
3578.641089707998,24459.62039166149,31125.17,5.779158589882957e-11,1.4360768397148266e-08
3579.819106167806,24356.86304246746,30994.41,5.754879757760495e-11,1.4280192528569025e-08
3580.997122626614,25152.784565950948,32007.23,5.942934872094175e-11,1.4725968986180865e-08
3582.175139086421,24548.900465399136,31238.78,5.800253099805204e-11,1.435209547636944e-08
3583.3531555452287,24730.17178490501,31469.45,5.843082697585018e-11,1.4437640339718139e-08
3584.531172005037,24401.44414081388,31051.14,5.76541308711433e-11,1.42256063429881e-08
3585.709188464844,23647.91120264337,30092.26,5.587373269543308e-11,1.3766849604789976e-08
3586.8872049236516,23563.786284998667,29985.21,5.56749678607199e-11,1.3698522756941392e-08
