Wavelength(A),Flux(erg/s/cm2),Original(erg/s/cm2),Flux_factor(er/s/cm2),Flux_corrected(erg/s/cm2)
3558.614809898269,3831.705074322989,4723.828,9.053301293964856e-12,2.304811655059759e-09
3559.792826357077,3757.352364204682,4632.164000000002,8.877625589893921e-12,2.2568555103098892e-09
3560.9708428168847,3713.9529118333053,4578.66,8.775084211919893e-12,2.227599262182778e-09
3562.148859276692,3755.741432079802,4630.178,8.873819385186675e-12,2.2494460270828907e-09
3563.3268757354995,3561.849609083539,4391.143,8.41570450996199e-12,2.130272038332589e-09
3564.504892195307,3729.7191191400952,4598.097,8.812335571887024e-12,2.227489097957287e-09
3565.682908654115,3599.871176264608,4438.017,8.505539373732074e-12,2.1468750352206693e-09
3566.860925113923,3868.6161852709465,4769.333,9.140512444621034e-12,2.3038604522219826e-09
3568.03894157373,3992.248331130848,4921.75,9.432622365499237e-12,2.3741008531859645e-09
3569.216958032537,3698.8112854611372,4559.993,8.739308570796967e-12,2.1964698761494584e-09
3570.3949744923448,3545.5237123678025,4371.016,8.37713075258902e-12,2.1024481897853267e-09
3571.572990951153,3500.815884610007,4315.899,8.271498031114096e-12,2.0729860419429406e-09
3572.7510074109605,3690.944810261197,4550.295,8.720722179431981e-12,2.1824646808791665e-09
3573.9290238707677,3404.072353557573,4196.6309999999985,8.042918764737633e-12,2.009978384222093e-09
3575.1070403295757,3444.451105408783,4246.411,8.138323029756081e-12,2.0309345369585695e-09
3576.285056789383,3649.9187654413786,4499.7170000000015,8.623788533065908e-12,2.1490313904448914e-09
3577.463073248191,3709.503786604221,4573.175,8.764572110802457e-12,2.1810187603668586e-09
3578.641089707998,3426.1078933886283,4223.797000000001,8.094982892168148e-12,2.011541519154929e-09
3579.819106167806,3529.1726701858693,4350.858,8.33849758315869e-12,2.069119701865876e-09
3580.997122626614,3453.490494935297,4257.555,8.159680706119389e-12,2.0218832546807085e-09
3582.175139086421,3805.122260830264,4691.056,8.990493166741381e-12,2.224599756052934e-09
3583.3531555452287,4762.926857800371,5871.863,1.1253531012535674e-11,2.780628680439622e-09
3584.531172005037,3890.2931994226487,4796.057,9.191729471104622e-12,2.2679714894917047e-09
3585.709188464844,4282.715778356862,5279.846,1.011891978787864e-11,2.4932224886783853e-09
3586.8872049236516,3216.960883850265,3965.955,7.600824063303403e-12,1.870141383164205e-09
3588.0652213834587,3593.399057722607,4430.038,8.490247476773812e-12,2.086033795565258e-09
3589.2432378422673,3929.956522203293,4844.955,9.285443367265171e-12,2.2781966930643565e-09
3590.4212543020744,3701.2909528859896,4563.05,8.745167366260233e-12,2.1426174003985056e-09
3591.5992707618816,3149.1865521472523,3882.401,7.440691320046043e-12,1.8204471236688676e-09
3592.7772872206897,4180.613829571823,5153.972,9.877680003729736e-12,2.4132835910787376e-09
3593.955303680497,3591.3598415282727,4427.524,8.485429350573404e-12,2.0702185781547323e-09
3595.1333201403045,3433.658022400904,4233.105,8.112821841521136e-12,1.9765310273690642e-09
3596.311336599113,3822.800334712251,4712.85,9.032261759586142e-12,2.197444292353336e-09
3597.48935305892,4161.547888184465,5130.4670000000015,9.83263224862209e-12,2.3888075315320784e-09
3598.6673695177283,3906.731034020174,4816.322,9.23056770795876e-12,2.2393919964856486e-09
