Wavelength(A),Flux(erg/s/cm2),Original(erg/s/cm2),Flux_factor(er/s/cm2),Flux_corrected(erg/s/cm2)
5326.346834152776,351.0305340939364,732.9279,8.293919095783531e-13,3.086430564591575e-11
5327.399131319703,298.0295753691875,622.2655,7.041647224914326e-13,2.6177147169151855e-11
5328.45142848563,233.61809201238748,487.7787,5.519774966195808e-13,2.0498449832096502e-11
5329.503725652557,180.811440377984,377.522,4.272094055743258e-13,1.584865131284572e-11
5330.556022819483,198.01262282571224,413.4369,4.678512306342198e-13,1.733849514831566e-11
5331.608319985409,230.77958966671184,481.8521,5.452708695539349e-13,2.01868383036049e-11
5332.660617152335,211.1789038356213,440.9272,4.989596553672418e-13,1.8453301776500553e-11
5333.712914319262,201.92769277720063,421.6113,4.771015009891311e-13,1.7626754020159427e-11
5334.765211486189,204.1714439649004,426.2961,4.824028890492565e-13,1.780428889098287e-11
5335.817508652116,205.7350484949728,429.5608,4.860972712213643e-13,1.7922201267604178e-11
5336.869805819043,198.00294818133216,413.4167,4.678283720193773e-13,1.723091824655998e-11
5337.922102985969,172.4346830675359,360.0319,4.074173531258976e-13,1.4990473476565204e-11
5338.974400151897,216.3589574869373,451.7428,5.111987461935505e-13,1.8789699451498787e-11
5340.026697318824,181.05718592409244,378.0351,4.2779003702361935e-13,1.5707794459206612e-11
5341.07899448575,184.9455787621171,386.1538,4.36977276445524e-13,1.602869452922017e-11
5342.131291651677,172.64757313817555,360.4764,4.07920355813894e-13,1.4947539034692296e-11
5343.183588818603,193.56319640220443,404.1468,4.573384178743646e-13,1.6741227112400558e-11
5344.235885985529,198.2121503924804,413.8535,4.683226612749833e-13,1.7125778627277905e-11
5345.288183151457,210.31024529542088,439.1135,4.969072459741729e-13,1.815249383314059e-11
5346.340480318383,182.22891946249482,380.4816,4.3055853213314303e-13,1.571264320483161e-11
5347.39277748531,200.11997110650947,417.8369,4.728303348573567e-13,1.7237676543875285e-11
5348.445074652236,198.46804952576,414.3878,4.689272829537156e-13,1.707794105013614e-11
5349.497371818163,213.63123460884086,446.0475,5.04753861583998e-13,1.8363968453377844e-11
5350.54966898509,206.19804249111974,430.5275,4.871912030514791e-13,1.770693819760137e-11
5351.601966152017,189.05658420944047,394.7373,4.4669049033172713e-13,1.6218405434566696e-11
5352.654263317943,193.75946715799324,404.5566,4.578021535358742e-13,1.6604926472743352e-11
5353.7065604848685,191.82913613278302,400.5262,4.53241294067481e-13,1.6422775008210526e-11
5354.7588576517965,184.2588226939727,384.7199,4.353546542760794e-13,1.5758630702257418e-11
5355.811154817724,178.67492448120942,373.0611,4.2216138602228246e-13,1.5265543640459593e-11
5356.86345198465,214.80248920445214,448.49300000000005,5.075212250789254e-13,1.8333556754057715e-11
5357.915749151577,202.09431697422093,421.9592,4.774951897071378e-13,1.7231398896716085e-11
5358.968046317505,201.71523375507297,421.1677,4.765995167542712e-13,1.718163223708219e-11
5360.020343484432,190.03827324833821,396.787,4.490099607694916e-13,1.6170608071748108e-11
5361.072640651357,180.01433589077251,375.8577,4.2532605940192433e-13,1.530214071716565e-11
5362.124937817284,179.03437104592263,373.8116,4.2301066277670616e-13,1.520343094260947e-11
5363.17723498421,174.6805416035164,364.7211,4.127237202902458e-13,1.4818699180286078e-11
5364.229532151137,186.2466747483929,388.8704,4.400514206574724e-13,1.5783914159268632e-11
5365.281829318064,180.9166641091865,377.7417,4.274580213011037e-13,1.531671580188048e-11
5366.334126483991,188.13097937137942,392.8047,4.445035319631741e-13,1.59114064311952e-11
5367.386423650917,172.54297203260143,360.2580000000001,4.07673211186091e-13,1.457830282410875e-11
5368.438720817843,165.36069804313254,345.2619,3.9070340554050455e-13,1.395737348335783e-11
5369.491017983772,211.6960662614406,442.007,5.001815728081834e-13,1.7850326800827374e-11
5370.543315150699,178.59427051518978,372.8927,4.2197082212428786e-13,1.5043994181910015e-11
5371.595612317624,195.2226852790532,407.6117,4.612593492886254e-13,1.6428141646059884e-11
5372.647909483551,204.74167325197243,427.4867,4.837501893874533e-13,1.7211835938842374e-11
5373.700206650478,213.75532868601243,446.3066,5.05047062925865e-13,1.7951509108146823e-11
5374.752503817404,203.37702155731893,424.6374,4.805258799185933e-13,1.7062758037410393e-11
5375.804800983331,191.09185160017861,398.9868,4.514992865581408e-13,1.6015965521522788e-11
5376.857098150258,164.20453014544057,342.8479,3.879716879053562e-13,1.3748647274763321e-11
5377.909395317185,185.46762640440548,387.2438,4.382107363553465e-13,1.5513403937412242e-11
5378.96169248411,191.25871526859447,399.3352,4.518935410834455e-13,1.5981761466593896e-11
5380.013989650038,167.9542211511655,350.677,3.968312117402109e-13,1.4020355615486206e-11
5381.066286816965,182.77256742466136,381.6167,4.318430278612526e-13,1.524207473990674e-11
5382.118583983891,186.4521412057706,389.2994,4.405368833192281e-13,1.553337013167723e-11
5383.170881149818,191.168434552474,399.1467,4.516802317320681e-13,1.5910360268265924e-11
5384.2231783167435,201.06004001686142,419.7997,4.750514679867142e-13,1.6716886050461627e-11
5385.2754754836715,188.37231864380985,393.3086,4.4507375255818285e-13,1.5646339946393348e-11
5386.327772649598,195.81274279767638,408.8437,4.626534984711035e-13,1.624811423178686e-11
5387.380069816525,200.69618717847013,419.04,4.741917803780057e-13,1.6636721371290992e-11
5388.432366983451,178.44479247009048,372.5806,4.2161764520882386e-13,1.4777446041501275e-11
5389.48466414938,199.20255619017604,415.9214,4.70662727098398e-13,1.648001365974796e-11
5390.536961316305,211.72911331402585,442.076,5.002596542153191e-13,1.7498896805241928e-11
5391.589258483232,186.18335851141083,388.7382,4.399018212078592e-13,1.5372293118012882e-11
5392.641555650157,158.03277755089306,329.9617,3.7338947589622337e-13,1.3035057473614977e-11
5393.693852816085,206.88053596842343,431.9525,4.888037538510178e-13,1.704722389388157e-11
5394.746149983012,198.17603810603225,413.7781,4.682373375344323e-13,1.6313746320164128e-11
5395.798447149938,162.31850132840617,338.91,3.835155027871084e-13,1.3348712912937087e-11
5396.850744315865,189.5151240376303,395.6947,4.4777389814609786e-13,1.5569846251908704e-11
5397.903041482792,191.26585151618167,399.3501,4.519104021409283e-13,1.5698105566907247e-11
5398.955338649718,196.7972575990416,410.8993,4.649796454349855e-13,1.6136096488034875e-11
5400.007635815645,177.29451556872897,370.1789,4.188998464332087e-13,1.4522609185719737e-11
5401.059932982572,195.76082539912213,408.7353,4.62530831448879e-13,1.6019365919373832e-11
5402.112230149499,176.0663146752571,367.6145,4.1599793396279694e-13,1.4393495288375023e-11
5403.1645273154245,195.20620964703963,407.5773,4.612204217465173e-13,1.594242429047521e-11
5404.216824482352,182.32135542117518,380.6746,4.307769337502032e-13,1.4875421845127056e-11
5405.269121649279,215.9852863213287,450.9626,5.103158604856206e-13,1.760464242720293e-11
5406.321418816207,169.47831290097298,353.8592,4.0043223570813486e-13,1.3800306862728385e-11
5407.373715982132,204.8212735438516,427.6529,4.839382637333364e-13,1.666178477753725e-11
5408.426013149058,186.02870788416766,388.4153,4.3953642285475663e-13,1.5118146589272736e-11
5409.478310315985,209.33162149038608,437.0702,4.94595017869824e-13,1.6995182090522947e-11
5410.530607481912,184.75438479991382,385.7546,4.365255358987339e-13,1.498505767783615e-11
5411.582904648839,180.3096041214796,376.4742,4.260236998004615e-13,1.4610177171156323e-11
5412.635201815766,191.42395053152057,399.6802,4.5228394811912324e-13,1.5495519243166317e-11
5413.6874989816915,166.21460514536741,347.0448,3.9272096120401146e-13,1.3441649166231086e-11
5414.739796148619,179.67945909124214,375.1585,4.2453483447628416e-13,1.4516288756574398e-11
5415.7920933155465,194.08854874975137,405.2437,4.585796859249009e-13,1.5665027149619674e-11
5416.844390481472,183.93318949031044,384.04,4.3458526951214517e-13,1.483083803603082e-11
5417.896687648399,162.86952500955556,340.0605,3.8481742537999907e-13,1.3119583572988607e-11
5418.948984815324,161.03929302768316,336.2391,3.804930733622048e-13,1.2959462383534328e-11
5420.001281982252,202.0718066630397,421.9122,4.774420038211179e-13,1.6245610763130856e-11
5421.053579148179,186.3370512530716,389.0591,4.4026495633176917e-13,1.4965974690429153e-11
5422.105876315106,169.25067139236774,353.3839,3.998943792905764e-13,1.3580380442731879e-11
5423.158173482032,187.1044612872356,390.6614,4.4207814239920836e-13,1.4998288655412972e-11
5424.210470647959,188.42308657966538,393.4146,4.451937037053765e-13,1.5089261578091543e-11
