Wavelength(A),Flux(erg/s/cm2),Original(erg/s/cm2),Flux_factor(er/s/cm2),Flux_corrected(erg/s/cm2)
3558.614809898269,687.691991658717,841.3254,1.6248335081042641e-12,4.136541009086713e-10
3559.792826357077,684.7698180619376,837.7504,1.6179291880974361e-12,4.113073215889628e-10
3560.9708428168847,569.1857957888757,696.3444,1.3448348454721066e-12,3.4139308947736197e-10
3562.148859276692,599.1363995038728,732.9861,1.415600166421533e-12,3.588439241405418e-10
3563.3268757354995,112.82875996256544,138.0352,2.665843896521771e-13,6.748065719985187e-11
3564.504892195307,750.2240544561497,917.8274,1.772580162415417e-12,4.480540890467032e-10
3565.682908654115,741.8856831846906,907.6262,1.752878805980828e-12,4.4244245814083245e-10
3566.860925113923,256.56357223237256,313.881,6.06191571486222e-13,1.527902069472325e-10
3568.03894157373,333.560108246938,408.0789,7.881139338837615e-13,1.9836074108985659e-10
3569.216958032537,457.59334004033246,559.8217,1.0811715142843574e-12,2.717332432924865e-10
3570.3949744923448,323.1034676395197,395.2862,7.634076696735932e-13,1.9159603933332841e-10
3571.572990951153,301.92159167114414,369.3722,7.13360523196126e-13,1.787809659019532e-10
3572.7510074109605,492.2553867236753,602.2274,1.1630687234909464e-12,2.9107181242867456e-10
3573.9290238707677,649.074261925233,794.0803,1.5335900705785017e-12,3.8325426157912656e-10
3575.1070403295757,567.4041281556172,694.1647,1.3406252381101822e-12,3.345556679479556e-10
3576.285056789383,635.3729868863697,777.3181,1.50121759706285e-12,3.7410051598625613e-10
3577.463073248191,188.59201611060752,230.7243,4.455928393150862e-13,1.1088348977510539e-10
3578.641089707998,428.06859714881034,523.701,1.0114123893415211e-12,2.513282660691632e-10
3579.819106167806,182.6137802358871,223.4105,4.3146785591202614e-13,1.0706468791122633e-10
3580.997122626614,-26.75545414776132,-32.73274,-6.3216031233652e-14,-1.5664269176959078e-11
3582.175139086421,517.7506361382622,633.4184,1.2233072256819894e-12,3.0269406865211043e-10
3583.3531555452287,606.1045778801482,741.5110000000002,1.4320641210022908e-12,3.5384792227895446e-10
3584.531172005037,316.9032283105656,387.7008,7.487581510778466e-13,1.8474892505349168e-10
3585.709188464844,404.50958404640573,494.8788,9.557486992433944e-13,2.354889850330854e-10
3586.8872049236516,-143.6988470563083,-175.8018,-3.395222055878072e-13,-8.353759038292816e-11
3588.0652213834587,760.6675350649924,930.604,1.7972553330445757e-12,4.4158139962906044e-10
3589.2432378422673,537.3323053233048,657.3747,1.269573508585368e-12,3.1149166005986573e-10
3590.4212543020744,130.33727980676568,159.4552,3.0795237134343863e-13,7.54501408263613e-11
3591.5992707618816,260.5877526664046,318.8042,6.156996409289119e-13,1.5063770181586522e-10
3592.7772872206897,523.6611920203076,640.6494,1.2372722992398565e-12,3.0228646163110757e-10
3593.955303680497,150.38755937587376,183.9848,3.5532585610973053e-13,8.66900375014484e-11
3595.1333201403045,722.4770557200502,883.8816,1.7070213746985534e-12,4.1588251010344755e-10
